,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,480,481703201,가좌산,신율리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,481700101
1,1,481,481703201,가좌산,가좌동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,481700101
2,2,482,481703201,가좌산,가좌동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,481700101
3,3,483,481703201,가좌산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,481700101
4,4,484,481703201,가좌산,가좌동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,481700101
5,5,485,481703201,가좌산,가좌동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,481700101
6,6,486,481703201,가좌산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,481700101
7,7,487,481703201,가좌산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,481700101
8,8,488,481703201,가좌산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,481700101
9,9,489,481703201,가좌산,가좌동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,481700101
10,10,490,481703201,가좌산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,481700101
11,11,491,481703201,가좌산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,481700101
12,12,492,481703201,가좌산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,481700101
13,13,493,481703201,가좌산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,481700101
14,14,494,481703201,가좌산,가좌동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,481700101
15,15,495,481703201,가좌산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,481700101
16,16,496,481703201,가좌산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,481700101
17,17,497,481703201,가좌산,가좌동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,481700101
18,18,498,481703201,가좌산,가좌동구간, ,0.1,중간,2,1, , , , , ,2016-12-31,481700101
19,19,499,481703201,가좌산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,481700101
20,20,500,481703201,가좌산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,481700101
21,21,501,481703201,가좌산,가좌동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,481700101
22,22,502,481703201,가좌산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,481700101
23,23,503,481703201,가좌산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,481700101
24,24,504,481703201,가좌산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,481700101
25,25,505,481703201,가좌산,신율리구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,481700101
26,26,506,481703201,가좌산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,481700101
27,27,507,481703201,가좌산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,481700101
28,28,508,481703201,가좌산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,481700101
29,29,509,481703201,가좌산,독산리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,481700101
30,30,510,481703201,가좌산,주약동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,481700101
31,31,511,481703201,가좌산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,481700101
32,32,512,481703201,가좌산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,481700101
33,33,513,481703201,가좌산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,481700101
34,34,514,481703201,가좌산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,481700101
35,35,515,481703201,가좌산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,481700101
36,36,516,481703201,가좌산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,481700101
37,37,517,481703201,가좌산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,481700101
38,38,518,481703201,가좌산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,481700101
39,39,519,481703201,가좌산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,481700101
40,40,520,481703201,가좌산,가좌동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,481700101
41,41,521,481703201,가좌산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,481700101
42,42,522,481703201,가좌산,주약동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,481700101
43,43,523,481703201,가좌산,가좌동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,481700101
44,44,524,481703201,가좌산, , ,0.59,쉬움,10,7, , , , , ,2016-12-31,481700101
