,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,799,479200101,각화산,고선리구간, ,5.38,쉬움,95,66,토반, , , , ,2016-12-31,479200101
1,1,800,479200101,각화산,각화사구간,각화사,1.1,쉬움,19,14,토반, , , , ,2016-12-31,479200101
2,2,801,479200101,각화산,석현리구간, ,0.65,쉬움,11,8,토반, , , , ,2016-12-31,479200101
3,3,802,479200101,각화산,각화사구간,각화사,1.38,쉬움,24,17,토반, , , , ,2016-12-31,479200101
4,4,803,479200101,각화산,석현리구간,태백산 사고지,0.82,쉬움,14,10,토반, , , , ,2016-12-31,479200101
5,5,804,479200101,각화산,석현리구간, ,0.18,쉬움,3,2,토반, , , , ,2016-12-31,479200101
6,6,805,479200101,각화산,애당리구간, ,3.06,쉬움,54,38,토반, , , , ,2016-12-31,479200101
7,7,806,479200101,각화산,석현리구간, ,0.71,쉬움,15,11,토반, , , , ,2016-12-31,479200101
8,8,807,479200101,각화산,석현리구간, ,1.08,쉬움,19,13,토반, , , , ,2016-12-31,479200101
9,9,808,479200101,각화산,각화사구간,각화사,1.12,쉬움,20,14,토반, , , , ,2016-12-31,479200101
10,10,809,479200101,각화산,각화사구간,각화사,0.05,쉬움,1,1,토반, , , , ,2016-12-31,479200101
11,11,810,479200101,각화산,각화사구간,각화사,2.19,쉬움,39,27,토반, , , , ,2016-12-31,479200101
