,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,1023,113800904,갈현근린공원2지구,불광동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
1,1,1024,113800904,갈현근린공원2지구,불광동구간, ,0.13,쉬움,2,2,흙길, , , , ,2016-12-31,113800904
2,2,1025,113800904,갈현근린공원2지구,불광동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
3,3,1026,113800904,갈현근린공원2지구,불광동구간, ,0.09,쉬움,2,1,흙길, , , , ,2016-12-31,113800904
4,4,1027,113800904,갈현근린공원2지구,불광동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
5,5,1028,113800904,갈현근린공원2지구,불광동구간, ,0.1,쉬움,2,1,흙길, , , , ,2016-12-31,113800904
6,6,1029,113800904,갈현근린공원2지구,불광동구간, ,0.15,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
7,7,1030,113800904,갈현근린공원2지구,진관동구간, ,0.13,쉬움,2,2,흙길, , , , ,2016-12-31,113800904
8,8,1031,113800904,갈현근린공원2지구,불광동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
9,9,1032,113800904,갈현근린공원2지구,불광동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
10,10,1033,113800904,갈현근린공원2지구,불광동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
11,11,1034,113800904,갈현근린공원2지구,불광동구간, ,0.18,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
12,12,1035,113800904,갈현근린공원2지구,불광동구간, ,0.1,쉬움,2,1,흙길, , , , ,2016-12-31,113800904
13,13,1036,113800904,갈현근린공원2지구,불광동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
14,14,1037,113800904,갈현근린공원2지구,불광동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
15,15,1038,113800904,갈현근린공원2지구,불광동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
16,16,1039,113800904,갈현근린공원2지구,불광동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
17,17,1040,113800904,갈현근린공원2지구,불광동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
18,18,1041,113800904,갈현근린공원2지구,불광동구간, ,0.08,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
19,19,1042,113800904,갈현근린공원2지구,진관동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
20,20,1043,113800904,갈현근린공원2지구,진관동구간, ,0.3,쉬움,5,4,흙길, , , , ,2016-12-31,113800904
21,21,1044,113800904,갈현근린공원2지구,불광동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
22,22,1045,113800904,갈현근린공원2지구,진관동구간, ,0.18,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
23,23,1046,113800904,갈현근린공원2지구,불광동구간, ,0.05,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
24,24,1047,113800904,갈현근린공원2지구,불광동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
25,25,1048,113800904,갈현근린공원2지구,불광동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
26,26,1049,113800904,갈현근린공원2지구,불광동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
27,27,1050,113800904,갈현근린공원2지구,진관동구간, ,0.13,쉬움,2,2,흙길, , , , ,2016-12-31,113800904
28,28,1051,113800904,갈현근린공원2지구,진관동구간, ,0.28,쉬움,5,3,흙길, , , , ,2016-12-31,113800904
29,29,1052,113800904,갈현근린공원2지구,불광동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
30,30,1053,113800904,갈현근린공원2지구,불광동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
31,31,1054,113800904,갈현근린공원2지구,진관동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
32,32,1055,113800904,갈현근린공원2지구,진관동구간, ,0.12,쉬움,2,1,흙길, , , , ,2016-12-31,113800904
33,33,1056,113800904,갈현근린공원2지구,불광동구간, ,0.04,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
34,34,1057,113800904,갈현근린공원2지구,불광동구간, ,0.19,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
35,35,1058,113800904,갈현근린공원2지구,불광동구간, ,0.16,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
36,36,1059,113800904,갈현근린공원2지구,불광동구간, ,0.12,쉬움,2,1,흙길, , , , ,2016-12-31,113800904
37,37,1060,113800904,갈현근린공원2지구,불광동구간, ,0.18,쉬움,3,2,흙길, , , , ,2016-12-31,113800904
38,38,1061,113800904,갈현근린공원2지구,불광동구간, ,0.03,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
39,39,1062,113800904,갈현근린공원2지구,불광동구간, ,0.02,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
40,40,1063,113800904,갈현근린공원2지구,불광동구간, ,0.01,쉬움,1,0,흙길, , , , ,2016-12-31,113800904
41,41,1064,113800904,갈현근린공원2지구,불광동구간, ,0.06,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
42,42,1065,113800904,갈현근린공원2지구,불광동구간, ,0.07,쉬움,1,1,흙길, , , , ,2016-12-31,113800904
