,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,1944,469000101,건배산,녹진리구간, ,1.14,쉬움,20,14, , , , , ,2016-12-31,469000101
1,1,1945,469000101,건배산,녹진리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,469000101
2,2,1946,469000101,건배산,녹진리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,469000101
3,3,1947,469000101,건배산,녹진리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,469000101
4,4,1948,469000101,건배산,녹진리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,469000101
5,5,1949,469000101,건배산,나리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,469000101
6,6,1950,469000101,건배산,나리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,469000101
7,7,1951,469000101,건배산,녹진리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,469000101
8,8,1952,469000101,건배산,녹진리구간, ,0.93,쉬움,16,11, , , , , ,2016-12-31,469000101
9,9,1953,469000101,건배산,나리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,469000101
10,10,1954,469000101,건배산,나리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,469000101
