,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,1958,441500201,건지산,초봉리구간, ,0.98,쉬움,18,13, , , , , ,2016-12-31,441500201
1,1,1959,441500201,건지산,초봉리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,441500201
2,2,1960,441500201,건지산,초봉리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,441500201
3,3,1961,441500201,건지산,초봉리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,441500201
4,4,1962,441500201,건지산,초봉리구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,441500201
5,5,1963,441500201,건지산,초봉리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,441500201
6,6,1964,441500201,건지산,초봉리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441500201
7,7,1965,441500201,건지산,초봉리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441500201
8,8,1966,441500201,건지산,초봉리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,441500201
9,9,1967,441500201,건지산,초봉리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,441500201
10,10,1968,441500201,건지산,초봉리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,441500201
11,11,1969,441500201,건지산,초봉리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,441500201
12,12,1970,441500201,건지산,초봉리구간, ,1.26,쉬움,22,16, , , , , ,2016-12-31,441500201
13,13,1971,441500201,건지산,초봉리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,441500201
14,14,1972,441500201,건지산,초봉리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,441500201
15,15,1973,441500201,건지산,초봉리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,441500201
16,16,1974,441500201,건지산,초봉리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,441500201
17,17,1975,441500201,건지산,초봉리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441500201
