,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,2212,488800401,건흥산,1코스구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2802990300
1,1,2213,488800401,건흥산,2코스구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,2802990300
2,2,2214,488800401,건흥산,4코스구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2802990300
3,3,2215,488800401,건흥산,상림리구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,2802990300
4,4,2216,488800401,건흥산,가지리구간, ,0.28,중간,5,4, , , , , ,2016-12-31,2802990300
5,5,2217,488800401,건흥산,거열산성길구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,2802990300
6,6,2218,488800401,건흥산,건흥산-취우령구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2802990300
7,7,2219,488800401,건흥산,4코스구간, ,2.19,쉬움,39,27, , , , , ,2016-12-31,2802990300
8,8,2220,488800401,건흥산,4코스구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2802990300
9,9,2221,488800401,건흥산,건흥산-취우령구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,2802990300
10,10,2222,488800401,건흥산,거열산성길구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,2802990300
11,11,2223,488800401,건흥산,트랙 012구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2802990300
12,12,2224,488800401,건흥산,거열산성길구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2802990300
13,13,2225,488800401,건흥산,1코스구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2802990300
14,14,2226,488800401,건흥산,1코스구간, ,0.52,쉬움,10,7, , , , , ,2016-12-31,2802990300
15,15,2227,488800401,건흥산,1코스구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,2802990300
16,16,2228,488800401,건흥산,3코스구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,2802990300
17,17,2229,488800401,건흥산,1코스구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,2802990300
18,18,2230,488800401,건흥산,3코스구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,2802990300
19,19,2231,488800401,건흥산,3코스구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,2802990300
20,20,2232,488800401,건흥산,2코스구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2802990300
21,21,2233,488800401,건흥산,2코스구간, ,0.82,쉬움,14,10, , , , , ,2016-12-31,2802990300
