,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,2410,467300201,견두산,고달리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,467300201
1,1,2411,467300201,견두산,두가리구간, ,3.43,쉬움,61,42, , , , , ,2016-12-31,467300201
2,2,2412,467300201,견두산,중방리구간, ,4.12,쉬움,155,108, , , , , ,2016-12-31,467300201
3,3,2413,467300201,견두산,계산리구간, ,2.6,쉬움,46,32, , , , , ,2016-12-31,467300201
4,4,2414,467300201,견두산,산성리구간, ,4.6,쉬움,81,57, , , , , ,2016-12-31,467300201
5,5,2415,467300201,견두산,계산리구간, ,5.8,쉬움,102,72, , , , , ,2016-12-31,467300201
6,6,2416,467300201,견두산,산성리구간, ,2.95,쉬움,52,36, , , , , ,2016-12-31,467300201
7,7,2417,467300201,견두산,계산리구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,467300201
8,8,2418,467300201,견두산,계산리구간, ,0.8,쉬움,14,10, , , , , ,2016-12-31,467300201
9,9,2419,467300201,견두산,원방리구간, ,8.09,쉬움,143,100, , , , , ,2016-12-31,467300201
10,10,2420,467300201,견두산,두가리구간, ,3.76,쉬움,66,46, , , , , ,2016-12-31,467300201
11,11,2421,467300201,견두산,두가리구간, ,4.13,쉬움,73,51, , , , , ,2016-12-31,467300201
12,12,2422,467300201,견두산,호곡리구간, ,2.72,쉬움,48,34, , , , , ,2016-12-31,467300201
13,13,2423,467300201,견두산,유암리구간, ,5.75,쉬움,101,71, , , , , ,2016-12-31,467300201
14,14,2424,467300201,견두산,계천리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,467300201
15,15,2425,467300201,견두산,호곡리구간, ,2.63,쉬움,46,32, , , , , ,2016-12-31,467300201
16,16,2426,467300201,견두산,배덕리구간, ,6.65,쉬움,249,175, , , , , ,2016-12-31,467300201
17,17,2427,467300201,견두산,계천리구간, ,1.05,쉬움,19,13, , , , , ,2016-12-31,467300201
