,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,2512,482500201,경운산,외동구간,내외 한신@ ~ 삼계동,0.5,쉬움,9,6,"암석,토사", , , , ,2016-12-31,482500201
1,1,2513,482500201,경운산,선지리구간, ,1.37,쉬움,24,17, , , , , ,2016-12-31,482500201
2,2,2514,482500201,경운산,외동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,482500201
3,3,2515,482500201,경운산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,482500201
4,4,2516,482500201,경운산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,482500201
5,5,2517,482500201,경운산,외동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,482500201
6,6,2518,482500201,경운산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,482500201
7,7,2519,482500201,경운산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,482500201
8,8,2520,482500201,경운산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,482500201
9,9,2521,482500201,경운산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,482500201
10,10,2522,482500201,경운산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,482500201
11,11,2523,482500201,경운산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,482500201
12,12,2524,482500201,경운산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,482500201
13,13,2525,482500201,경운산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,482500201
14,14,2526,482500201,경운산,내동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,482500201
15,15,2527,482500201,경운산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,482500201
16,16,2528,482500201,경운산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,482500201
17,17,2529,482500201,경운산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,482500201
18,18,2530,482500201,경운산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,482500201
19,19,2531,482500201,경운산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,482500201
20,20,2532,482500201,경운산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,482500201
21,21,2533,482500201,경운산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,482500201
22,22,2534,482500201,경운산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,482500201
23,23,2535,482500201,경운산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,482500201
24,24,2536,482500201,경운산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,482500201
25,25,2537,482500201,경운산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,482500201
26,26,2538,482500201,경운산,내동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,482500201
27,27,2539,482500201,경운산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,482500201
28,28,2540,482500201,경운산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,482500201
29,29,2541,482500201,경운산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,482500201
30,30,2542,482500201,경운산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,482500201
31,31,2543,482500201,경운산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,482500201
32,32,2544,482500201,경운산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,482500201
33,33,2545,482500201,경운산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,482500201
34,34,2546,482500201,경운산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,482500201
35,35,2547,482500201,경운산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,482500201
36,36,2548,482500201,경운산,선지리구간, ,1.46,쉬움,26,18, , , , , ,2016-12-31,482500201
37,37,2549,482500201,경운산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,482500201
