,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,2580,483100401,계룡산,고현동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,2801100400
1,1,2581,483100401,계룡산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2801100400
2,2,2582,483100401,계룡산,고현동구간, ,0.28,중간,5,3, , , , , ,2016-12-31,2801100400
3,3,2583,483100401,계룡산,고현동구간, ,0.41,쉬움,8,5, , , , , ,2016-12-31,2801100400
4,4,2584,483100401,계룡산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2801100400
5,5,2585,483100401,계룡산,고현동구간, ,0.63,쉬움,14,9, , , , , ,2016-12-31,2801100400
6,6,2586,483100401,계룡산, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,2801100400
7,7,2587,483100401,계룡산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2801100400
8,8,2588,483100401,계룡산,상동동구간, ,1.04,쉬움,18,13, , , , , ,2016-12-31,2801100400
9,9,2589,483100401,계룡산,상동동구간, ,1.73,쉬움,31,21, , , , , ,2016-12-31,2801100400
10,10,2590,483100401,계룡산, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,2801100400
11,11,2591,483100401,계룡산,장평동구간, ,3.95,쉬움,148,104, , , , , ,2016-12-31,2801100400
12,12,2592,483100401,계룡산,동상리구간, ,3.25,쉬움,81,57, , , , , ,2016-12-31,2801100400
13,13,2593,483100401,계룡산,고현동구간, ,1.54,쉬움,58,40, , , , , ,2016-12-31,2801100400
14,14,2594,483100401,계룡산,서정리구간, ,2.52,쉬움,95,66, , , , , ,2016-12-31,2801100400
