,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,2644,282600201,계양산,연무정입구-정상구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,282600201
1,1,2645,282600201,계양산,연무정입구-정상구간, ,0.21,쉬움,4,3,토사, , , , ,2016-12-31,282600201
2,2,2646,282600201,계양산,계산동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,282600201
3,3,2647,282600201,계양산,계양문화회관-정상부구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,282600201
4,4,2648,282600201,계양산,계산동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,282600201
5,5,2649,282600201,계양산,계산동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,282600201
6,6,2650,282600201,계양산,계양문화회관-정상부구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,282600201
7,7,2651,282600201,계양산,계양문화회관-정상부구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,282600201
8,8,2652,282600201,계양산,계산동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,282600201
9,9,2653,282600201,계양산,연무정주차장-천수수목원구간, ,0.22,쉬움,4,3,토사, , , , ,2016-12-31,282600201
10,10,2654,282600201,계양산,방축동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,282600201
11,11,2655,282600201,계양산,방축동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,282600201
12,12,2656,282600201,계양산,임학동구간, ,0.22,쉬움,4,3,토사, , , , ,2016-12-31,282600201
13,13,2657,282600201,계양산,선경빌라구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,282600201
14,14,2658,282600201,계양산,임학동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,282600201
15,15,2659,282600201,계양산,임학동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,282600201
16,16,2660,282600201,계양산,임학동구간, ,0.09,쉬움,2,1,토사, , , , ,2016-12-31,282600201
17,17,2661,282600201,계양산,임학동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,282600201
18,18,2662,282600201,계양산,임학동구간, ,0.17,쉬움,3,2,토사, , , , ,2016-12-31,282600201
19,19,2663,282600201,계양산,임학동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,282600201
20,20,2664,282600201,계양산,임학동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,282600201
