,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,3268,451100501,고덕산,대성동구간, ,1.6,쉬움,28,20, , , , , ,2016-12-31,2599990500
1,1,3269,451100501,고덕산, , ,1.23,쉬움,22,15, , , , , ,2016-12-31,2599990500
2,2,3270,451100501,고덕산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2599990500
3,3,3271,451100501,고덕산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2599990500
4,4,3272,451100501,고덕산,광곡리구간, ,1.49,쉬움,26,18, , , , , ,2016-12-31,2599990500
5,5,3273,451100501,고덕산, , ,0.82,중간,21,14, , , , , ,2016-12-31,2599990500
6,6,3274,451100501,고덕산, , ,1.0,중간,38,26, , , , , ,2016-12-31,2599990500
7,7,3275,451100501,고덕산, , ,1.48,쉬움,26,18, , , , , ,2016-12-31,2599990500
8,8,3276,451100501,고덕산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2599990500
9,9,3277,451100501,고덕산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2599990500
10,10,3278,451100501,고덕산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2599990500
11,11,3279,451100501,고덕산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2599990500
12,12,3280,451100501,고덕산,석구동구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,2599990500
13,13,3281,451100501,고덕산,서서학동구간, ,2.01,쉬움,35,25, , , , , ,2016-12-31,2599990500
14,14,3282,451100501,고덕산, , ,0.77,쉬움,14,10, , , , , ,2016-12-31,2599990500
15,15,3283,451100501,고덕산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2599990500
16,16,3284,451100501,고덕산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2599990500
17,17,3285,451100501,고덕산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2599990500
18,18,3286,451100501,고덕산, , ,1.33,쉬움,23,16, , , , , ,2016-12-31,2599990500
19,19,3287,451100501,고덕산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2599990500
20,20,3288,451100501,고덕산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2599990500
21,21,3289,451100501,고덕산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2599990500
22,22,3290,451100501,고덕산, , ,1.28,쉬움,23,16, , , , , ,2016-12-31,2599990500
23,23,3291,451100501,고덕산,대성동구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,2599990500
24,24,3292,451100501,고덕산,대성동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,2599990500
25,25,3293,451100501,고덕산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2599990500
26,26,3294,451100501,고덕산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2599990500
27,27,3295,451100501,고덕산,대성동구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,2599990500
28,28,3296,451100501,고덕산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2599990500
29,29,3297,451100501,고덕산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2599990500
30,30,3298,451100501,고덕산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2599990500
31,31,3299,451100501,고덕산, , ,1.19,쉬움,21,15, , , , , ,2016-12-31,2599990500
