,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,4086,468800501,공원산,조산리묘동-사거리연수동구간, ,0.58,쉬움,10,7,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
1,1,4087,468800501,공원산,조산리묘동-사거리연수동구간, ,0.31,쉬움,5,4,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
2,2,4088,468800501,공원산,조산리묘동-사거리연수동구간, ,0.0,쉬움,1,0,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
3,3,4089,468800501,공원산,조산리묘동-사거리연수동구간, ,0.07,쉬움,1,1,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
4,4,4090,468800501,공원산,사거리구간, ,0.09,쉬움,2,1, , , ,뱀이 많이 서식함, ,2016-12-31,468800501
5,5,4091,468800501,공원산,사거리구간, ,0.1,쉬움,2,1, , , ,뱀이 많이 서식함, ,2016-12-31,468800501
6,6,4092,468800501,공원산,조산리묘동-사거리연수동구간, ,0.13,쉬움,2,2,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
7,7,4093,468800501,공원산,조산리-사거리구간, ,0.12,쉬움,2,1,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
8,8,4094,468800501,공원산,사거리구간, ,0.08,쉬움,1,1, , , ,뱀이 많이 서식함, ,2016-12-31,468800501
9,9,4095,468800501,공원산,조산리묘동-사거리연수동구간, ,0.2,쉬움,4,2,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
10,10,4096,468800501,공원산,조산리-사거리구간, ,0.08,쉬움,1,1,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
11,11,4097,468800501,공원산,조산리묘동-사거리연수동구간, ,0.19,쉬움,3,2,토사, , ,뱀이 많이 서식함, ,2016-12-31,468800501
