,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,4418,116200704,관악산삼봉약수터,봉천동구간, ,0.86,쉬움,15,11,암석/목재, , , , ,2016-12-31,116200704
1,1,4419,116200704,관악산삼봉약수터,봉천동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,116200704
2,2,4420,116200704,관악산삼봉약수터,봉천동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,116200704
3,3,4421,116200704,관악산삼봉약수터,봉천동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,116200704
4,4,4422,116200704,관악산삼봉약수터,남현동구간, ,0.17,쉬움,3,2,암석/목재, , , , ,2016-12-31,116200704
5,5,4423,116200704,관악산삼봉약수터,남현동구간, ,0.19,쉬움,3,2,암석/목재, , , , ,2016-12-31,116200704
6,6,4424,116200704,관악산삼봉약수터,남현동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,116200704
7,7,4425,116200704,관악산삼봉약수터,남현동구간, ,0.16,쉬움,3,2,암석/목재, , , , ,2016-12-31,116200704
8,8,4426,116200704,관악산삼봉약수터,봉천동구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,116200704
9,9,4427,116200704,관악산삼봉약수터,남현동구간,사당초등학교,0.62,쉬움,11,8,암석/목재, , , , ,2016-12-31,116200704
10,10,4428,116200704,관악산삼봉약수터,봉천동구간,인현고등학교,0.16,쉬움,3,2,암석/목재, , , , ,2016-12-31,116200704
11,11,4429,116200704,관악산삼봉약수터,봉천동구간, ,0.26,쉬움,5,3,암석/목재, , , , ,2016-12-31,116200704
12,12,4430,116200704,관악산삼봉약수터,남현동구간, ,0.05,쉬움,1,1,암석/목재, , , , ,2016-12-31,116200704
13,13,4431,116200704,관악산삼봉약수터,남현동구간, ,0.16,쉬움,3,2,암석/목재, , , , ,2016-12-31,116200704
14,14,4432,116200704,관악산삼봉약수터,남현동구간,관음사,0.13,쉬움,2,2,암석/목재, , , , ,2016-12-31,116200704
15,15,4433,116200704,관악산삼봉약수터,남현동구간, ,0.77,쉬움,14,10,암석/목재, , , , ,2016-12-31,116200704
