,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,5358,261400101,구덕산,괴정동구간, ,1,쉬움,18,12, , , , , ,2016-12-31,263800101
1,1,5359,261400101,구덕산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,1211250100
2,2,5360,261400101,구덕산, , ,0.98,쉬움,17,12, , , , , ,2016-12-31,1211250100
3,3,5361,261400101,구덕산, , ,0.79,쉬움,14,10, , , , , ,2016-12-31,1211250100
4,4,5362,261400101,구덕산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,1211250100
5,5,5363,261400101,구덕산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,1211250100
6,6,5364,261400101,구덕산, , ,1.51,쉬움,27,19, , , , , ,2016-12-31,1211250100
7,7,5365,261400101,구덕산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,1211250100
8,8,5366,261400101,구덕산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,1211250100
9,9,5367,261400101,구덕산, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,1211250100
10,10,5368,261400101,구덕산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,1211250100
11,11,5369,261400101,구덕산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,1211250100
12,12,5370,261400101,구덕산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,1211250100
13,13,5371,261400101,구덕산, , ,0.7,쉬움,12,9, , , , , ,2016-12-31,1211250100
14,14,5372,261400101,구덕산, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,1211250100
15,15,5373,261400101,구덕산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,1211250100
16,16,5374,261400101,구덕산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,1211250100
17,17,5375,261400101,구덕산, , ,0.8,쉬움,15,11, , , , , ,2016-12-31,1211250100
18,18,5376,261400101,구덕산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,1211250100
19,19,5377,261400101,구덕산, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,1211250100
20,20,5378,261400101,구덕산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,1211250100
21,21,5379,261400101,구덕산,괴정동구간, ,0.98,쉬움,21,15, , , , , ,2016-12-31,1211250100
22,22,5380,261400101,구덕산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,1211250100
23,23,5381,261400101,구덕산,서대신동3가구간, ,1.07,중간,40,28, , , , , ,2016-12-31,1211250100
