,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,5626,431100401,구룡산,개신동구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,431100401
1,1,5627,431100401,구룡산,성화동구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,431100401
2,2,5628,431100401,구룡산,성화동구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,431100401
3,3,5629,431100401,구룡산,산남동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,431100401
4,4,5630,431100401,구룡산,개신동구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,431100401
5,5,5631,431100401,구룡산,개신동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,431100401
6,6,5632,431100401,구룡산,개신동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,431100401
7,7,5633,431100401,구룡산,개신동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,431100401
8,8,5634,431100401,구룡산,개신동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,431100401
9,9,5635,431100401,구룡산,개신동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,431100401
10,10,5636,431100401,구룡산,개신동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,431100401
11,11,5637,431100401,구룡산,개신동구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,431100401
12,12,5638,431100401,구룡산,성화동구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,431100401
13,13,5639,431100401,구룡산,성화동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,431100401
14,14,5640,431100401,구룡산,성화동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,431100401
