,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,5700,412100201,구름산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,412100201
1,1,5701,412100201,구름산,소하동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,412100201
2,2,5702,412100201,구름산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,412100201
3,3,5703,412100201,구름산,소하동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,412100201
4,4,5704,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
5,5,5705,412100201,구름산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,412100201
6,6,5706,412100201,구름산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,412100201
7,7,5707,412100201,구름산,노온사동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,412100201
8,8,5708,412100201,구름산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,412100201
9,9,5709,412100201,구름산, , ,0.76,쉬움,13,9, , ,Y, , ,2016-12-31,412100201
10,10,5710,412100201,구름산, , ,0.06,쉬움,1,1, , ,Y, , ,2016-12-31,412100201
11,11,5711,412100201,구름산, , ,0.04,쉬움,1,0, , ,Y, , ,2016-12-31,412100201
12,12,5712,412100201,구름산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,412100201
13,13,5713,412100201,구름산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,412100201
14,14,5714,412100201,구름산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,412100201
15,15,5715,412100201,구름산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,412100201
16,16,5716,412100201,구름산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,412100201
17,17,5717,412100201,구름산,노온사동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,412100201
18,18,5718,412100201,구름산,소하동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,412100201
