,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,5945,287200101,구봉산,신도리구간, ,0.84,쉬움,16,11, , , , , ,2016-12-31,1409040100
1,1,5946,287200101,구봉산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,1409040100
2,2,5947,287200101,구봉산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,1409040100
3,3,5948,287200101,구봉산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,1409040100
4,4,5949,287200101,구봉산, , ,1.07,쉬움,19,13, , , , , ,2016-12-31,1409040100
5,5,5950,287200101,구봉산, , ,1.33,쉬움,23,16, , , , , ,2016-12-31,1409040100
6,6,5951,287200101,구봉산,신도리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,1409040100
7,7,5952,287200101,구봉산,신도리구간, ,1.24,쉬움,22,15, , , , , ,2016-12-31,1409040100
8,8,5953,287200101,구봉산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,1409040100
9,9,5954,287200101,구봉산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,1409040100
10,10,5955,287200101,구봉산,신도리구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,1409040100
11,11,5956,287200101,구봉산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,1409040100
12,12,5957,287200101,구봉산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,1409040100
13,13,5958,287200101,구봉산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,1409040100
