,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,57005,441303901,구성산,구성동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,441303901
1,1,57006,441303901,구성산,구성동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,441303901
2,2,57007,441303901,구성산,구성동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,441303901
3,3,57008,441303901,구성산,구성동구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,441303901
4,4,57009,441303901,구성산,구성동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,441303901
5,5,57010,441303901,구성산,구성동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,441303901
6,6,57011,441303901,구성산,구성동구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,441303901
7,7,57012,441303901,구성산,구성동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,441303901
8,8,57013,441303901,구성산,구성동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,441303901
9,9,57014,441303901,구성산,유량동구간, ,1.32,쉬움,23,16, , , , , ,2016-12-31,441303901
10,10,57015,441303901,구성산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,441303901
11,11,57016,441303901,구성산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,441303901
12,12,57017,441303901,구성산,유량동구간, ,0.04,쉬움,1,1, , , , , ,2016-12-31,441303901
