,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,6431,431504401,국사봉,구곡리구간, ,1.94,쉬움,58,41, , , , , ,2016-12-31,431504401
1,1,6432,431504401,국사봉,활산리구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,431504401
2,2,6433,431504401,국사봉,구곡리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,431504401
3,3,6434,431504401,국사봉,구곡리구간, ,0.7,쉬움,13,9, , , , , ,2016-12-31,431504401
4,4,6435,431504401,국사봉,장선리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,431504401
5,5,6436,431504401,국사봉,장선리구간, ,1.94,쉬움,34,24, , , , , ,2016-12-31,431504401
6,6,6437,431504401,국사봉,활산리구간, ,0.81,쉬움,15,11, , , , , ,2016-12-31,431504401
7,7,6438,431504401,국사봉,장선리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,431504401
8,8,6439,431504401,국사봉,장선리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,431504401
9,9,6440,431504401,국사봉,장선리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,431504401
10,10,6441,431504401,국사봉,장선리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,431504401
