,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,7489,461700501,금성산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2606120500
1,1,7490,461700501,금성산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,2606120500
2,2,7491,461700501,금성산, , ,5.27,쉬움,93,65, , , , , ,2016-12-31,2606120500
3,3,7492,461700501,금성산, , ,1.64,쉬움,29,20, , , , , ,2016-12-31,2606120500
4,4,7493,461700501,금성산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2606120500
5,5,7494,461700501,금성산, , ,0.76,쉬움,13,9, , , , , ,2016-12-31,2606120500
6,6,7495,461700501,금성산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2606120500
7,7,7496,461700501,금성산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,2606120500
8,8,7497,461700501,금성산,경현동구간, ,4.11,쉬움,88,62, , , , , ,2016-12-31,2606120500
9,9,7498,461700501,금성산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2606120500
10,10,7499,461700501,금성산,경현동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,2606120500
11,11,7500,461700501,금성산,경현동구간, ,0.56,쉬움,11,7, , , , , ,2016-12-31,2606120500
12,12,7501,461700501,금성산,대호동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,2606120500
13,13,7502,461700501,금성산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2606120500
14,14,7503,461700501,금성산, , ,0.71,쉬움,13,9, , , , , ,2016-12-31,2606120500
15,15,7504,461700501,금성산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2606120500
16,16,7505,461700501,금성산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2606120500
17,17,7506,461700501,금성산,경현동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2606120500
18,18,7507,461700501,금성산,경현동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,2606120500
19,19,7508,461700501,금성산,경현동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2606120500
20,20,7509,461700501,금성산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2606120500
21,21,7510,461700501,금성산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2606120500
22,22,7511,461700501,금성산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2606120500
23,23,7512,461700501,금성산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2606120500
24,24,7513,461700501,금성산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2606120500
25,25,7514,461700501,금성산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2606120500
26,26,7515,461700501,금성산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2606120500
27,27,7516,461700501,금성산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2606120500
28,28,7517,461700501,금성산,학교리구간, ,2.16,쉬움,38,27, , , , , ,2016-12-31,2606120500
29,29,7518,461700501,금성산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2606120500
30,30,7519,461700501,금성산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2606120500
31,31,7520,461700501,금성산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2606120500
