,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,8329,427200801,금학산,양덕원리구간, ,1.98,쉬움,59,42, , , , , ,2016-12-31,427200801
1,1,8330,427200801,금학산,양덕원리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,427200801
2,2,8331,427200801,금학산, , ,3.37,쉬움,59,42, , , , , ,2016-12-31,427200801
3,3,8332,427200801,금학산,월천리구간, ,1.0,쉬움,18,12, , , , , ,2016-12-31,427200801
4,4,8333,427200801,금학산,월천리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,427200801
5,5,8334,427200801,금학산,양덕원리구간, ,9.74,쉬움,172,120, , , , , ,2016-12-31,427200801
6,6,8335,427200801,금학산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,427200801
7,7,8336,427200801,금학산, , ,0.81,쉬움,14,10, , , , , ,2016-12-31,427200801
8,8,8337,427200801,금학산,노일리구간, ,2.19,쉬움,82,57, , , , , ,2016-12-31,427200801
9,9,8338,427200801,금학산,노일리구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,427200801
10,10,8339,427200801,금학산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,427200801
11,11,8340,427200801,금학산, , ,0.44,쉬움,8,5, , , , , ,2016-12-31,427200801
12,12,8341,427200801,금학산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,427200801
13,13,8342,427200801,금학산,노일리구간, ,0.85,쉬움,15,11, , , , , ,2016-12-31,427200801
14,14,8343,427200801,금학산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,427200801
15,15,8344,427200801,금학산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,427200801
16,16,8345,427200801,금학산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,427200801
17,17,8346,427200801,금학산, , ,0.58,쉬움,10,7, , , , , ,2016-12-31,427200801
18,18,8347,427200801,금학산,노일리구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,427200801
19,19,8348,427200801,금학산,노일리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,427200801
20,20,8349,427200801,금학산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,427200801
21,21,8350,427200801,금학산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,427200801
22,22,8351,427200801,금학산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,427200801
23,23,8352,427200801,금학산,남노일리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,427200801
24,24,8353,427200801,금학산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,427200801
25,25,8354,427200801,금학산, , ,1.32,쉬움,23,16, , , , , ,2016-12-31,427200801
26,26,8355,427200801,금학산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,427200801
27,27,8356,427200801,금학산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,427200801
28,28,8357,427200801,금학산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,427200801
29,29,8358,427200801,금학산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,427200801
30,30,8359,427200801,금학산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,427200801
31,31,8360,427200801,금학산, , ,0.81,쉬움,14,10, , , , , ,2016-12-31,427200801
32,32,8361,427200801,금학산, , ,1.01,쉬움,18,12, , , , , ,2016-12-31,427200801
33,33,8362,427200801,금학산, , ,1.48,쉬움,26,18, , , , , ,2016-12-31,427200801
34,34,8363,427200801,금학산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,427200801
35,35,8364,427200801,금학산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,427200801
36,36,8365,427200801,금학산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,427200801
37,37,8366,427200801,금학산, , ,1.28,쉬움,23,16, , , , , ,2016-12-31,427200801
38,38,8367,427200801,금학산,장항리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,427200801
39,39,8368,427200801,금학산,장항리구간, ,2.55,쉬움,45,32, , , , , ,2016-12-31,427200801
40,40,8369,427200801,금학산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,427200801
41,41,8370,427200801,금학산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,427200801
42,42,8371,427200801,금학산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,427200801
43,43,8372,427200801,금학산, , ,1.18,쉬움,21,15, , , , , ,2016-12-31,427200801
44,44,8373,427200801,금학산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,427200801
45,45,8374,427200801,금학산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,427200801
46,46,8375,427200801,금학산, , ,1.15,쉬움,20,14, , , , , ,2016-12-31,427200801
47,47,8376,427200801,금학산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,427200801
48,48,8377,427200801,금학산, , ,1.33,쉬움,23,16, , , , , ,2016-12-31,427200801
49,49,8378,427200801,금학산,장항리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,427200801
50,50,8379,427200801,금학산, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,427200801
51,51,8380,427200801,금학산,원소리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,427200801
52,52,8381,427200801,금학산,원소리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,427200801
53,53,8382,427200801,금학산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,427200801
54,54,8383,427200801,금학산,원소리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,427200801
55,55,8384,427200801,금학산,원소리구간, ,1.25,쉬움,22,15, , , , , ,2016-12-31,427200801
56,56,8385,427200801,금학산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,427200801
57,57,8386,427200801,금학산,굴지리구간, ,2.26,쉬움,40,28, , , , , ,2016-12-31,427200801
58,58,8387,427200801,금학산, , ,1.54,쉬움,27,19, , , , , ,2016-12-31,427200801
59,59,8388,427200801,금학산,역전평리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,427200801
60,60,8389,427200801,금학산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,427200801
61,61,8390,427200801,금학산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,427200801
62,62,8391,427200801,금학산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,427200801
63,63,8392,427200801,금학산, , ,0.78,쉬움,14,10, , , , , ,2016-12-31,427200801
64,64,8393,427200801,금학산, , ,1.02,쉬움,18,13, , , , , ,2016-12-31,427200801
65,65,8394,427200801,금학산,역전평리구간,금학산농원~금학산,0.35,쉬움,6,4, , , , , ,2016-12-31,427200801
