,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,8752,488807501,기백산,상천리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2819070600
1,1,8753,488807501,기백산,상천리구간, ,0.84,쉬움,15,10, , , , , ,2016-12-31,2819070600
2,2,8754,488807501,기백산,상천리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,2819070600
3,3,8755,488807501,기백산,상원리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,2819070600
4,4,8756,488807501,기백산,상천리구간, ,0.88,쉬움,16,11, , , , , ,2016-12-31,2819070600
5,5,8757,488807501,기백산,상천리구간, ,1.35,쉬움,24,17, , , , , ,2016-12-31,2819070600
6,6,8758,488807501,기백산,상천리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2819070600
7,7,8759,488807501,기백산,돗수골길구간, ,3.82,쉬움,67,47, , , , , ,2016-12-31,2819070600
8,8,8760,488807501,기백산,상천저수지길구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,2819070600
9,9,8761,488807501,기백산,상촌길구간, ,2.98,쉬움,53,37, , , , , ,2016-12-31,2819070600
10,10,8762,488807501,기백산,쇠실길구간, ,2.57,쉬움,55,39, , , , , ,2016-12-31,2819070600
11,11,8763,488807501,기백산,쇠실길구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,2819070600
12,12,8764,488807501,기백산,시응골길구간, ,2.93,쉬움,52,36, , , , , ,2016-12-31,2819070600
13,13,8765,488807501,기백산,용추길구간, ,0.28,쉬움,5,3, , , , , ,2016-12-31,2819070600
14,14,8766,488807501,기백산,상원리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,2819070600
15,15,8767,488807501,기백산,상원리구간, ,1.86,쉬움,33,23, , , , , ,2016-12-31,2819070600
16,16,8768,488807501,기백산,현성산길구간, ,2.65,쉬움,47,33, , , , , ,2016-12-31,2819070600
17,17,8769,488807501,기백산,상원리구간, ,1.4,쉬움,25,17, , , , , ,2016-12-31,2819070600
18,18,8770,488807501,기백산,상천리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2819070600
19,19,8771,488807501,기백산,상천리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2819070600
20,20,8772,488807501,기백산,상천리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2819070600
21,21,8773,488807501,기백산,상천리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,2819070600
22,22,8774,488807501,기백산,상천리구간, ,0.98,쉬움,17,12, , , , , ,2016-12-31,2819070600
23,23,8775,488807501,기백산,상천리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,2819070600
24,24,8776,488807501,기백산,상천리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,2819070600
