,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,9028,471500701,까치산,금송리구간, ,1.39,쉬움,25,17, , , , , ,2016-12-31,471500701
1,1,9029,471500701,까치산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,471500701
2,2,9030,471500701,까치산, , ,0.99,쉬움,17,12, , , , , ,2016-12-31,471500701
3,3,9031,471500701,까치산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,471500701
4,4,9032,471500701,까치산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,471500701
5,5,9033,471500701,까치산,지좌동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,471500701
6,6,9034,471500701,까치산,지좌동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,471500701
7,7,9035,471500701,까치산,지좌동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,471500701
8,8,9036,471500701,까치산,지좌동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,471500701
9,9,9037,471500701,까치산,지좌동구간, ,0.97,쉬움,21,15, , ,Y, , ,2016-12-31,471500701
10,10,9038,471500701,까치산,덕곡동구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,471500701
