,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,9244,478503804,낙화암,신리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,478500901
1,1,9245,478503804,낙화암,신리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,478500901
2,2,9246,478503804,낙화암,신리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,478500901
3,3,9247,478503804,낙화암,신리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,478500901
4,4,9248,478503804,낙화암,신리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,478500901
5,5,9249,478503804,낙화암, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,478500901
6,6,9250,478503804,낙화암, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,478500901
7,7,9251,478503804,낙화암, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,478500901
8,8,9252,478503804,낙화암,신리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,478500901
9,9,9253,478503804,낙화암, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,478500901
10,10,9254,478503804,낙화암,신리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,478500901
11,11,9255,478503804,낙화암,신리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,478500901
12,12,9256,478503804,낙화암,신리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,478500901
13,13,9257,478503804,낙화암, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,478500901
14,14,9258,478503804,낙화암, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,478500901
15,15,9259,478503804,낙화암, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,478500901
16,16,9260,478503804,낙화암, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,478500901
17,17,9261,478503804,낙화암,신리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,478500901
18,18,9262,478503804,낙화암,신리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,478500901
19,19,9263,478503804,낙화암, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,478500901
20,20,9264,478503804,낙화암, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,478500901
21,21,9265,478503804,낙화암,신리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,478500901
22,22,9266,478503804,낙화암,신리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,478500901
