,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,9572,461500501,남산,인제동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,461500501
1,1,9573,461500501,남산,인제동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,461500501
2,2,9574,461500501,남산,인제동구간, ,1.51,쉬움,45,32, , , , , ,2016-12-31,461500501
3,3,9575,461500501,남산,흘산리구간, ,1.97,쉬움,35,24, , , , , ,2016-12-31,461500501
4,4,9576,461500501,남산,저전동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,461500501
5,5,9577,461500501,남산,저전동구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,461500501
6,6,9578,461500501,남산,인제동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,461500501
7,7,9579,461500501,남산,인제동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,461500501
8,8,9580,461500501,남산,인제동구간, ,1.37,쉬움,51,36, , , , , ,2016-12-31,461500501
9,9,9581,461500501,남산,인제동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,461500501
10,10,9582,461500501,남산,인제동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,461500501
11,11,9583,461500501,남산,덕월동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,461500501
12,12,9584,461500501,남산,인제동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,461500501
13,13,9585,461500501,남산,덕월동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,461500501
14,14,9586,461500501,남산,흘산리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,461500501
15,15,9587,461500501,남산,남정동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,461500501
16,16,9588,461500501,남산,덕월동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,461500501
17,17,9589,461500501,남산,남정동구간, ,0.46,쉬움,8,6, , , , , ,2016-12-31,461500501
18,18,9590,461500501,남산,남정동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,461500501
19,19,9591,461500501,남산,남정동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,461500501
20,20,9592,461500501,남산,남정동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,461500501
21,21,9593,461500501,남산,남정동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,461500501
22,22,9594,461500501,남산,남정동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,461500501
23,23,9595,461500501,남산,남정동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,461500501
24,24,9596,461500501,남산,남정동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,461500501
25,25,9597,461500501,남산,덕월동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,461500501
26,26,9598,461500501,남산,덕월동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,461500501
27,27,9599,461500501,남산,덕월동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,461500501
28,28,9600,461500501,남산,덕월동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,461500501
29,29,9601,461500501,남산,덕월동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,461500501
30,30,9602,461500501,남산,덕월동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,461500501
31,31,9603,461500501,남산,덕월동구간, ,1.14,쉬움,24,17, , , , , ,2016-12-31,461500501
32,32,9604,461500501,남산,덕월동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,461500501
33,33,9605,461500501,남산,덕월동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,461500501
34,34,9606,461500501,남산,덕월동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,461500501
35,35,9607,461500501,남산,덕월동구간, ,2.32,쉬움,70,49, , , , , ,2016-12-31,461500501
