,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,9705,301700201,남산_남선공원,탄방동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,301700201
1,1,9706,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
2,2,9707,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
3,3,9708,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
4,4,9709,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
5,5,9710,301700201,남산_남선공원,탄방동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,301700201
6,6,9711,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
7,7,9712,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
8,8,9713,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
9,9,9714,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
10,10,9715,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
11,11,9716,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
12,12,9717,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
13,13,9718,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
14,14,9719,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
15,15,9720,301700201,남산_남선공원,탄방동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,301700201
16,16,9721,301700201,남산_남선공원,탄방동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,301700201
17,17,9722,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
18,18,9723,301700201,남산_남선공원,탄방동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,301700201
19,19,9724,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
20,20,9725,301700201,남산_남선공원,탄방동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,301700201
21,21,9726,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
22,22,9727,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
23,23,9728,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
24,24,9729,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
25,25,9730,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
26,26,9731,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
27,27,9732,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
28,28,9733,301700201,남산_남선공원,탄방동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,301700201
29,29,9734,301700201,남산_남선공원,탄방동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,301700201
30,30,9735,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
31,31,9736,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
32,32,9737,301700201,남산_남선공원,탄방동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,301700201
33,33,9738,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
34,34,9739,301700201,남산_남선공원,탄방동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,301700201
35,35,9740,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
36,36,9741,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
37,37,9742,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
38,38,9743,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
39,39,9744,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
40,40,9745,301700201,남산_남선공원,탄방동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,301700201
41,41,9746,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
42,42,9747,301700201,남산_남선공원,탄방동구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,301700201
43,43,9748,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
44,44,9749,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
45,45,9750,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
46,46,9751,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
47,47,9752,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
48,48,9753,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
49,49,9754,301700201,남산_남선공원,탄방동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,301700201
50,50,9755,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
51,51,9756,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
52,52,9757,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
53,53,9758,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
54,54,9759,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
55,55,9760,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
56,56,9761,301700201,남산_남선공원,탄방동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,301700201
57,57,9762,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
58,58,9763,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
59,59,9764,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
60,60,9765,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
61,61,9766,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
62,62,9767,301700201,남산_남선공원,탄방동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,301700201
63,63,9768,301700201,남산_남선공원,탄방동구간, ,0.01,중간,1,0, , , , , ,2016-12-31,301700201
64,64,9769,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
65,65,9770,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
66,66,9771,301700201,남산_남선공원,탄방동구간, ,0.02,중간,1,0, , , , , ,2016-12-31,301700201
67,67,9772,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
68,68,9773,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
69,69,9774,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
70,70,9775,301700201,남산_남선공원,탄방동구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,301700201
71,71,9776,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
72,72,9777,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
73,73,9778,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
74,74,9779,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
75,75,9780,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
76,76,9781,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
77,77,9782,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
78,78,9783,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
79,79,9784,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
80,80,9785,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
81,81,9786,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
82,82,9787,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
83,83,9788,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
84,84,9789,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
85,85,9790,301700201,남산_남선공원,탄방동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,301700201
86,86,9791,301700201,남산_남선공원,탄방동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,301700201
87,87,9792,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
88,88,9793,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
89,89,9794,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
90,90,9795,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
91,91,9796,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
92,92,9797,301700201,남산_남선공원,탄방동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,301700201
93,93,9798,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
94,94,9799,301700201,남산_남선공원,탄방동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,301700201
95,95,9800,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
96,96,9801,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
97,97,9802,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
98,98,9803,301700201,남산_남선공원,탄방동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,301700201
99,99,9804,301700201,남산_남선공원,탄방동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,301700201
100,100,9805,301700201,남산_남선공원,탄방동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,301700201
101,101,9806,301700201,남산_남선공원,탄방동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,301700201
102,102,9807,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
103,103,9808,301700201,남산_남선공원,탄방동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,301700201
104,104,9809,301700201,남산_남선공원,탄방동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,301700201
