,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,10657,267100401,달음산,달산리구간, ,1.4,쉬움,25,17, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
1,1,10658,267100401,달음산,용천리구간, ,0.44,쉬움,8,5, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
2,2,10659,267100401,달음산,웅천리구간, ,1.65,쉬움,29,20, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
3,3,10660,267100401,달음산,달산리구간, ,1.01,쉬움,18,12, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
4,4,10661,267100401,달음산,좌천리구간, ,1.41,쉬움,25,17, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
5,5,10662,267100401,달음산,예림리구간, ,1.88,쉬움,33,23, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
6,6,10663,267100401,달음산,용천리구간, ,1.26,쉬움,22,16, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
7,7,10664,267100401,달음산,용천리구간, ,0.18,쉬움,3,2, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
8,8,10665,267100401,달음산,용천리구간, ,0.32,쉬움,6,4, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
9,9,10666,267100401,달음산,용천리구간, ,0.39,쉬움,7,5, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
10,10,10667,267100401,달음산,용천리구간,대도사,1.79,쉬움,32,22, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
11,11,10668,267100401,달음산,용천리구간, ,0.4,쉬움,7,5, , , ,정상 부근이 암봉으로 이루어져 있어 눈.비 올때 낙상 주의, ,2016-12-31,267100401
