,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,10707,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
1,1,10708,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
2,2,10709,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
3,3,10710,112300204,답십리공원,답십리동구간, ,0.09,쉬움,2,1,토사, , , , ,2016-12-31,112300204
4,4,10711,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
5,5,10712,112300204,답십리공원,답십리동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112300204
6,6,10713,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
7,7,10714,112300204,답십리공원,답십리동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112300204
8,8,10715,112300204,답십리공원,답십리동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112300204
9,9,10716,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
10,10,10717,112300204,답십리공원,답십리동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,112300204
11,11,10718,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
12,12,10719,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
13,13,10720,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
14,14,10721,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
15,15,10722,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
16,16,10723,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
17,17,10724,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
18,18,10725,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
19,19,10726,112300204,답십리공원,답십리동구간, ,0.18,쉬움,3,2,토사, , , , ,2016-12-31,112300204
20,20,10727,112300204,답십리공원,답십리동구간, ,0.1,쉬움,2,1,토사, , , , ,2016-12-31,112300204
21,21,10728,112300204,답십리공원,답십리동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,112300204
22,22,10729,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
23,23,10730,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
24,24,10731,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
25,25,10732,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
26,26,10733,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
27,27,10734,112300204,답십리공원,답십리동구간, ,0.19,쉬움,3,2,토사, , , , ,2016-12-31,112300204
28,28,10735,112300204,답십리공원,답십리동구간, ,0.03,중간,1,0,토사, , , , ,2016-12-31,112300204
29,29,10736,112300204,답십리공원,답십리동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112300204
30,30,10737,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
31,31,10738,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
32,32,10739,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
33,33,10740,112300204,답십리공원,답십리동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,112300204
34,34,10741,112300204,답십리공원,답십리동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112300204
35,35,10742,112300204,답십리공원,답십리동구간, ,0.13,중간,2,2,토사, , , , ,2016-12-31,112300204
36,36,10743,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
37,37,10744,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
38,38,10745,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
39,39,10746,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
40,40,10747,112300204,답십리공원,답십리동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,112300204
41,41,10748,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
42,42,10749,112300204,답십리공원,답십리동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112300204
43,43,10750,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
44,44,10751,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
45,45,10752,112300204,답십리공원,답십리동구간, ,0.15,쉬움,3,2,토사, , , , ,2016-12-31,112300204
46,46,10753,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
47,47,10754,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
48,48,10755,112300204,답십리공원,답십리동구간, ,0.15,중간,3,2,토사, , , , ,2016-12-31,112300204
49,49,10756,112300204,답십리공원,답십리동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112300204
50,50,10757,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
51,51,10758,112300204,답십리공원,답십리동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112300204
52,52,10759,112300204,답십리공원,답십리동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,112300204
53,53,10760,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
54,54,10761,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
55,55,10762,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
56,56,10763,112300204,답십리공원,답십리동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,112300204
57,57,10764,112300204,답십리공원,답십리동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112300204
58,58,10765,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
59,59,10766,112300204,답십리공원,답십리동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112300204
60,60,10767,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
61,61,10768,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
62,62,10769,112300204,답십리공원,답십리동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112300204
63,63,10770,112300204,답십리공원,답십리동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112300204
64,64,10771,112300204,답십리공원,답십리동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,112300204
65,65,10772,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
66,66,10773,112300204,답십리공원,답십리동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,112300204
67,67,10774,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
68,68,10775,112300204,답십리공원,답십리동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112300204
69,69,10776,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
70,70,10777,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
71,71,10778,112300204,답십리공원,답십리동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,112300204
72,72,10779,112300204,답십리공원,답십리동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,112300204
73,73,10780,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
74,74,10781,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
75,75,10782,112300204,답십리공원,답십리동구간, ,0.0,쉬움,1,0,토사, , , , ,2016-12-31,112300204
76,76,10783,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
77,77,10784,112300204,답십리공원,답십리동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,112300204
78,78,10785,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
79,79,10786,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
80,80,10787,112300204,답십리공원,답십리동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,112300204
81,81,10788,112300204,답십리공원,답십리동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,112300204
82,82,10789,112300204,답십리공원,답십리동구간, ,0.12,쉬움,2,1,토사, , , , ,2016-12-31,112300204
