,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,11072,421900501,대덕산, , ,1.41,쉬움,25,17, , , , , ,2016-12-31,2214180400
1,1,11073,421900501,대덕산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2214180400
2,2,11074,421900501,대덕산,창죽동구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,2214180400
3,3,11075,421900501,대덕산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2214180400
4,4,11076,421900501,대덕산,창죽동구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,2214180400
5,5,11077,421900501,대덕산, , ,1.07,쉬움,19,13, , , , , ,2016-12-31,2214180400
6,6,11078,421900501,대덕산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2214180400
7,7,11079,421900501,대덕산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2214180400
8,8,11080,421900501,대덕산,화전동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2214180400
9,9,11081,421900501,대덕산,화전동구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,2214180400
10,10,11082,421900501,대덕산, , ,0.85,쉬움,15,11, , , , , ,2016-12-31,2214180400
11,11,11083,421900501,대덕산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2214180400
12,12,11084,421900501,대덕산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,2214180400
13,13,11085,421900501,대덕산,고한리구간, ,1.16,쉬움,25,17, , , , , ,2016-12-31,2214180400
14,14,11086,421900501,대덕산, , ,1.66,쉬움,29,21, , , , , ,2016-12-31,2214180400
15,15,11087,421900501,대덕산, , ,3.34,쉬움,59,41, , , , , ,2016-12-31,2214180400
16,16,11088,421900501,대덕산, , ,3.45,쉬움,61,43, , , , , ,2016-12-31,2214180400
17,17,11089,421900501,대덕산,판문리구간, ,3.83,쉬움,68,47, , , , , ,2016-12-31,2214180400
18,18,11090,421900501,대덕산,한소리구간, ,3.8,쉬움,67,47, , , , , ,2016-12-31,2214180400
