,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,11204,491300901,대록산,가시리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,491300901
1,1,11205,491300901,대록산,가시리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,491300901
2,2,11206,491300901,대록산,가시리구간, ,0.22,쉬움,4,3, , , , , ,2016-12-31,491300901
3,3,11207,491300901,대록산,가시리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,491300901
4,4,11208,491300901,대록산,가시리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,491300901
5,5,11209,491300901,대록산,가시리구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,491300901
6,6,11210,491300901,대록산,가시리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,491300901
7,7,11211,491300901,대록산,가시리구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,491300901
8,8,11212,491300901,대록산,가시리구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,491300901
9,9,11213,491300901,대록산,가시리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,491300901
10,10,11214,491300901,대록산,가시리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,491300901
11,11,11215,491300901,대록산,가시리구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,491300901
12,12,11216,491300901,대록산,가시리구간, ,1.34,쉬움,24,17, , , , , ,2016-12-31,491300901
13,13,11217,491300901,대록산,가시리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,491300901
14,14,11218,491300901,대록산,가시리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,491300901
