,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,11556,488704001,대상골월경산,대안리구간, ,1.17,쉬움,21,14,토사/암반, , , , ,2016-12-31,488704001
1,1,11557,488704001,대상골월경산,대안리구간, ,5.35,쉬움,94,66,토사/암반, , , , ,2016-12-31,488704001
2,2,11558,488704001,대상골월경산,양백리구간, ,0.63,쉬움,11,8,토사/암반, , , , ,2016-12-31,488704001
3,3,11559,488704001,대상골월경산,대안리구간, ,2.06,쉬움,36,25,토사/암반, , , , ,2016-12-31,488704001
4,4,11560,488704001,대상골월경산,평정리구간, ,1.17,쉬움,21,14,토사/암반, , , , ,2016-12-31,488704001
5,5,11561,488704001,대상골월경산,대안리구간, ,1.49,쉬움,26,18,토사/암반, , , , ,2016-12-31,488704001
6,6,11562,488704001,대상골월경산,대안리구간, ,0.57,쉬움,10,7,토사/암반, , , , ,2016-12-31,488704001
7,7,11563,488704001,대상골월경산,평정리구간, ,0.59,쉬움,10,7,토사/암반, , , , ,2016-12-31,488704001
8,8,11564,488704001,대상골월경산,양백리구간, ,0.21,쉬움,4,3,토사/암반, , , , ,2016-12-31,488704001
9,9,11565,488704001,대상골월경산,양백리구간, ,1.05,쉬움,19,13,토사/암반, , , , ,2016-12-31,488704001
10,10,11566,488704001,대상골월경산,운산리구간, ,1.08,쉬움,19,13,토사/암반, , , , ,2016-12-31,488704001
11,11,11567,488704001,대상골월경산,운산리구간, ,2.07,쉬움,37,26,토사/암반, , , , ,2016-12-31,488704001
12,12,11568,488704001,대상골월경산,양백리구간, ,0.68,쉬움,12,8,토사/암반, , , , ,2016-12-31,488704001
13,13,11569,488704001,대상골월경산,양백리구간, ,0.29,쉬움,5,4,토사/암반, , , , ,2016-12-31,488704001
14,14,11570,488704001,대상골월경산,양백리구간, ,0.37,쉬움,7,5,토사/암반, , , , ,2016-12-31,488704001
15,15,11571,488704001,대상골월경산,양백리구간, ,0.55,쉬움,10,7,토사/암반, , , , ,2016-12-31,488704001
16,16,11572,488704001,대상골월경산,양백리구간, ,0.98,쉬움,17,12,토사/암반, , , , ,2016-12-31,488704001
17,17,11573,488704001,대상골월경산,양백리구간, ,0.86,쉬움,15,11,토사/암반, , , , ,2016-12-31,488704001
18,18,11574,488704001,대상골월경산,양백리구간, ,0.42,쉬움,7,5,토사/암반, , , , ,2016-12-31,488704001
19,19,11575,488704001,대상골월경산,대안리구간, ,0.45,쉬움,8,6,토사/암반, , , , ,2016-12-31,488704001
20,20,11576,488704001,대상골월경산,양백리구간, ,0.14,쉬움,2,2,토사/암반, , , , ,2016-12-31,488704001
21,21,11577,488704001,대상골월경산,양백리구간, ,0.98,쉬움,17,12,토사/암반, , , , ,2016-12-31,488704001
22,22,11578,488704001,대상골월경산,양백리구간, ,0.12,쉬움,2,1,토사/암반, , , , ,2016-12-31,488704001
23,23,11579,488704001,대상골월경산,양백리구간, ,0.76,쉬움,13,9,토사/암반, , , , ,2016-12-31,488704001
24,24,11580,488704001,대상골월경산,양백리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
25,25,11581,488704001,대상골월경산,양백리구간, ,0.03,중간,1,0,토사/암반, , , , ,2016-12-31,488704001
26,26,11582,488704001,대상골월경산,운산리구간, ,3.38,쉬움,60,42,토사/암반, , , , ,2016-12-31,488704001
27,27,11583,488704001,대상골월경산,운산리구간, ,2.34,쉬움,41,29,토사/암반, , , , ,2016-12-31,488704001
28,28,11584,488704001,대상골월경산,운산리구간, ,0.16,쉬움,3,2,토사/암반, , , , ,2016-12-31,488704001
29,29,11585,488704001,대상골월경산,운산리구간, ,0.93,쉬움,16,11,토사/암반, , , , ,2016-12-31,488704001
30,30,11586,488704001,대상골월경산,양백리구간, ,0.62,쉬움,11,8,토사/암반, , , , ,2016-12-31,488704001
31,31,11587,488704001,대상골월경산,대안리구간, ,0.45,쉬움,8,6,토사/암반, , , , ,2016-12-31,488704001
32,32,11588,488704001,대상골월경산,운산리구간, ,0.2,쉬움,4,2,토사/암반, , , , ,2016-12-31,488704001
33,33,11589,488704001,대상골월경산,대안리구간, ,0.36,쉬움,6,4,토사/암반, , , , ,2016-12-31,488704001
34,34,11590,488704001,대상골월경산,지지리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
35,35,11591,488704001,대상골월경산,지지리구간, ,0.58,쉬움,10,7,토사/암반, , , , ,2016-12-31,488704001
36,36,11592,488704001,대상골월경산,대안리구간, ,0.39,쉬움,7,5,토사/암반, , , , ,2016-12-31,488704001
37,37,11593,488704001,대상골월경산,대안리구간, ,0.04,쉬움,1,0,토사/암반, , , , ,2016-12-31,488704001
38,38,11594,488704001,대상골월경산,대안리구간, ,0.35,쉬움,6,4,토사/암반, , , , ,2016-12-31,488704001
39,39,11595,488704001,대상골월경산,지지리구간, ,0.66,쉬움,12,8,토사/암반, , , , ,2016-12-31,488704001
40,40,11596,488704001,대상골월경산,대안리구간, ,0.32,쉬움,6,4,토사/암반, , , , ,2016-12-31,488704001
41,41,11597,488704001,대상골월경산,지지리구간, ,0.54,쉬움,10,7,토사/암반, , , , ,2016-12-31,488704001
42,42,11598,488704001,대상골월경산,지지리구간, ,0.43,쉬움,8,5,토사/암반, , , , ,2016-12-31,488704001
43,43,11599,488704001,대상골월경산,운산리구간, ,0.08,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
44,44,11600,488704001,대상골월경산,대안리구간, ,1.15,쉬움,20,14,토사/암반, , , , ,2016-12-31,488704001
45,45,11601,488704001,대상골월경산,운산리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
46,46,11602,488704001,대상골월경산,대안리구간, ,0.68,쉬움,12,8,토사/암반, , , , ,2016-12-31,488704001
47,47,11603,488704001,대상골월경산,지지리구간, ,0.07,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
48,48,11604,488704001,대상골월경산,지지리구간, ,0.06,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
49,49,11605,488704001,대상골월경산,지지리구간, ,0.51,쉬움,9,6,토사/암반, , , , ,2016-12-31,488704001
50,50,11606,488704001,대상골월경산,지지리구간, ,0.08,쉬움,1,1,토사/암반, , , , ,2016-12-31,488704001
51,51,11607,488704001,대상골월경산,지지리구간, ,0.09,쉬움,2,1,토사/암반, , , , ,2016-12-31,488704001
52,52,11608,488704001,대상골월경산,동화리구간, ,3.77,쉬움,67,47,토사/암반, , , , ,2016-12-31,488704001
53,53,11609,488704001,대상골월경산,지지리구간, ,2.31,쉬움,87,61,토사/암반, , , , ,2016-12-31,488704001
