,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,12859,471301301,도덕산,옥산리구간, ,1.57,쉬움,28,19, , , , , ,2016-12-31,2702351000
1,1,12860,471301301,도덕산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2702351000
2,2,12861,471301301,도덕산,오룡리구간, ,3.04,쉬움,65,46, , , , , ,2016-12-31,2702351000
3,3,12862,471301301,도덕산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2702351000
4,4,12863,471301301,도덕산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,2702351000
5,5,12864,471301301,도덕산, , ,4.28,쉬움,107,75, , , , , ,2016-12-31,2702351000
6,6,12865,471301301,도덕산,봉계리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,2702351000
7,7,12866,471301301,도덕산,봉계리구간, ,1.38,쉬움,41,29, , , , , ,2016-12-31,2702351000
8,8,12867,471301301,도덕산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2702351000
9,9,12868,471301301,도덕산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2702351000
10,10,12869,471301301,도덕산,옥산리구간, ,2.86,쉬움,50,35, , , , , ,2016-12-31,2702351000
11,11,12870,471301301,도덕산, , ,0.72,쉬움,14,9, , , , , ,2016-12-31,2702351000
12,12,12871,471301301,도덕산,옥산리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,2702351000
13,13,12872,471301301,도덕산, , ,1.69,쉬움,30,21, , , , , ,2016-12-31,2702351000
14,14,12873,471301301,도덕산, , ,1.17,쉬움,21,14, , , , , ,2016-12-31,2702351000
15,15,12874,471301301,도덕산,옥산리구간, ,0.68,중간,26,18, , , , , ,2016-12-31,2702351000
16,16,12875,471301301,도덕산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2702351000
17,17,12876,471301301,도덕산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,2702351000
18,18,12877,471301301,도덕산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2702351000
19,19,12878,471301301,도덕산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2702351000
20,20,12879,471301301,도덕산,옥산리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,2702351000
21,21,12880,471301301,도덕산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2702351000
22,22,12881,471301301,도덕산, , ,1.16,쉬움,20,14, , , , , ,2016-12-31,2702351000
23,23,12882,471301301,도덕산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2702351000
24,24,12883,471301301,도덕산, , ,1.01,쉬움,18,12, , , , , ,2016-12-31,2702351000
25,25,12884,471301301,도덕산,옥산리구간, ,0.86,쉬움,15,11, , , , , ,2016-12-31,2702351000
26,26,12885,471301301,도덕산,옥산리구간, ,2.83,쉬움,106,74, , , , , ,2016-12-31,2702351000
27,27,12886,471301301,도덕산, , ,1.27,쉬움,38,27, , , , , ,2016-12-31,2702351000
