,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,12981,113200102,도봉산_자운봉,우이동구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,113050101
1,1,12982,113200102,도봉산_자운봉,우이동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,113050101
2,2,12983,113200102,도봉산_자운봉,우이동구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,113050101
3,3,12984,113200102,도봉산_자운봉, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,113050101
4,4,12985,113200102,도봉산_자운봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,113050101
5,5,12986,113200102,도봉산_자운봉, , ,0.89,쉬움,16,11, , , , , ,2016-12-31,113050101
6,6,12987,113200102,도봉산_자운봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,113050101
7,7,12988,113200102,도봉산_자운봉, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,113050101
8,8,12989,113200102,도봉산_자운봉, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,113050101
9,9,12990,113200102,도봉산_자운봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,113050101
10,10,12991,113200102,도봉산_자운봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,113050101
11,11,12992,113200102,도봉산_자운봉, , ,1.0,쉬움,18,12, , , , , ,2016-12-31,113050101
12,12,12993,113200102,도봉산_자운봉, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,113050101
13,13,12994,113200102,도봉산_자운봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,113050101
14,14,12995,113200102,도봉산_자운봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,113050101
15,15,12996,113200102,도봉산_자운봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,113050101
16,16,12997,113200102,도봉산_자운봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,113050101
17,17,12998,113200102,도봉산_자운봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,113050101
18,18,12999,113200102,도봉산_자운봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,113050101
19,19,13000,113200102,도봉산_자운봉, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,113050101
20,20,13001,113200102,도봉산_자운봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,113050101
21,21,13002,113200102,도봉산_자운봉,우이동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,113200101
22,22,13003,113200102,도봉산_자운봉,방학동구간, ,0.52,쉬움,9,6, , , , , ,2016-12-31,113200101
23,23,13004,113200102,도봉산_자운봉,방학동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,113200101
24,24,13005,113200102,도봉산_자운봉,방학동구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,113200101
25,25,13006,113200102,도봉산_자운봉, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,113200101
26,26,13007,113200102,도봉산_자운봉,방학동구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,113200101
27,27,13008,113200102,도봉산_자운봉,방학동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,113200101
28,28,13009,113200102,도봉산_자운봉, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,113200101
29,29,13010,113200102,도봉산_자운봉, , ,0.75,쉬움,13,9, , , , , ,2016-12-31,113200101
30,30,13011,113200102,도봉산_자운봉, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,113200101
31,31,13012,113200102,도봉산_자운봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,113200101
32,32,13013,113200102,도봉산_자운봉, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,113200101
33,33,13014,113200102,도봉산_자운봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,113200101
34,34,13015,113200102,도봉산_자운봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,113200101
35,35,13016,113200102,도봉산_자운봉, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,113200101
36,36,13017,113200102,도봉산_자운봉, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,113200101
37,37,13018,113200102,도봉산_자운봉, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,113200101
38,38,13019,113200102,도봉산_자운봉,도봉동구간, ,1.03,쉬움,18,13, , , , , ,2016-12-31,113200101
39,39,13020,113200102,도봉산_자운봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200101
40,40,13021,113200102,도봉산_자운봉, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,113200101
41,41,13022,113200102,도봉산_자운봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,113200101
42,42,13023,113200102,도봉산_자운봉, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,113200101
43,43,13024,113200102,도봉산_자운봉, , ,1.2,쉬움,21,15, , , , , ,2016-12-31,113200101
44,44,13025,113200102,도봉산_자운봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,113200101
45,45,13026,113200102,도봉산_자운봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,113200101
46,46,13027,113200102,도봉산_자운봉, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,113200101
47,47,13028,113200102,도봉산_자운봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,113200101
48,48,13029,113200102,도봉산_자운봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,113200101
49,49,13030,113200102,도봉산_자운봉, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,113200101
50,50,13031,113200102,도봉산_자운봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,113200101
51,51,13032,113200102,도봉산_자운봉, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,113200101
52,52,13033,113200102,도봉산_자운봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,113200101
53,53,13034,113200102,도봉산_자운봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,113200101
54,54,13035,113200102,도봉산_자운봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,113200101
55,55,13036,113200102,도봉산_자운봉, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,113200101
56,56,13037,113200102,도봉산_자운봉, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,113200101
57,57,13038,113200102,도봉산_자운봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,113200101
58,58,13039,113200102,도봉산_자운봉, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,113200101
59,59,13040,113200102,도봉산_자운봉, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,113200101
60,60,13041,113200102,도봉산_자운봉, , ,0.54,쉬움,10,7, , , , , ,2016-12-31,113200101
61,61,13042,113200102,도봉산_자운봉, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,113200101
62,62,13043,113200102,도봉산_자운봉, , ,1.47,쉬움,26,18, , , , , ,2016-12-31,113200101
63,63,13044,113200102,도봉산_자운봉,도봉동구간, ,0.37,쉬움,7,5, , , , , ,2016-12-31,113200101
64,64,13045,113200102,도봉산_자운봉, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,113200101
65,65,13046,113200102,도봉산_자운봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,113200101
66,66,13047,113200102,도봉산_자운봉,도봉동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,113200101
67,67,13048,113200102,도봉산_자운봉, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,113200101
68,68,13049,113200102,도봉산_자운봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,113200101
69,69,13050,113200102,도봉산_자운봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,113200101
70,70,13051,113200102,도봉산_자운봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,113200101
71,71,13052,113200102,도봉산_자운봉, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,113200101
72,72,13053,113200102,도봉산_자운봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,113200101
73,73,13054,113200102,도봉산_자운봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200101
74,74,13055,113200102,도봉산_자운봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,113200101
75,75,13056,113200102,도봉산_자운봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,113200101
76,76,13057,113200102,도봉산_자운봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,113200101
77,77,13058,113200102,도봉산_자운봉, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,113200101
78,78,13059,113200102,도봉산_자운봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,113200101
79,79,13060,113200102,도봉산_자운봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,113200101
80,80,13061,113200102,도봉산_자운봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,113200101
81,81,13062,113200102,도봉산_자운봉, , ,1.14,쉬움,20,14, , , , , ,2016-12-31,113200101
82,82,13063,113200102,도봉산_자운봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,113200101
83,83,13064,113200102,도봉산_자운봉, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,113200101
84,84,13065,113200102,도봉산_자운봉, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,113200101
85,85,13066,113200102,도봉산_자운봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,113200101
86,86,13067,113200102,도봉산_자운봉, , ,0.62,쉬움,11,8, , , , , ,2016-12-31,113200101
87,87,13068,113200102,도봉산_자운봉,도봉동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,113200101
88,88,13069,113200102,도봉산_자운봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200101
89,89,13070,113200102,도봉산_자운봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,113200101
90,90,13071,113200102,도봉산_자운봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,113200101
91,91,13072,113200102,도봉산_자운봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,113200101
92,92,13073,113200102,도봉산_자운봉,도봉동구간, ,0.44,중간,9,7, , , , , ,2016-12-31,113200101
93,93,13074,113200102,도봉산_자운봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,113200101
94,94,13075,113200102,도봉산_자운봉, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,113200101
95,95,13076,113200102,도봉산_자운봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200101
96,96,13077,113200102,도봉산_자운봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,113200101
97,97,13078,113200102,도봉산_자운봉, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,113200101
98,98,13079,113200102,도봉산_자운봉, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,113200101
99,99,13080,113200102,도봉산_자운봉, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,113200101
100,100,13081,113200102,도봉산_자운봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,113200101
101,101,13082,113200102,도봉산_자운봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,113200101
102,102,13083,113200102,도봉산_자운봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,113200101
103,103,13084,113200102,도봉산_자운봉, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,113200101
104,104,13085,113200102,도봉산_자운봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,113200101
105,105,13086,113200102,도봉산_자운봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,113200101
106,106,13087,113200102,도봉산_자운봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,113200101
107,107,13088,113200102,도봉산_자운봉,도봉동구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,113200101
108,108,13089,113200102,도봉산_자운봉,도봉동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,113200101
109,109,13090,113200102,도봉산_자운봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,113200101
110,110,13091,113200102,도봉산_자운봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,113200101
111,111,13092,113200102,도봉산_자운봉, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,113200101
112,112,13093,113200102,도봉산_자운봉,도봉동구간, ,0.49,중간,9,6, , , , , ,2016-12-31,113200101
113,113,13094,113200102,도봉산_자운봉, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,113200101
114,114,13095,113200102,도봉산_자운봉, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,113200101
115,115,13096,113200102,도봉산_자운봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,113200101
116,116,13097,113200102,도봉산_자운봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,113200101
117,117,13098,113200102,도봉산_자운봉, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,113200101
118,118,13099,113200102,도봉산_자운봉, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,113200101
119,119,13100,113200102,도봉산_자운봉, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,113200101
120,120,13101,113200102,도봉산_자운봉, , ,0.41,중간,9,6, , , , , ,2016-12-31,113200101
121,121,13102,113200102,도봉산_자운봉, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,113200101
122,122,13103,113200102,도봉산_자운봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,113200101
123,123,13104,113200102,도봉산_자운봉, , ,0.5,쉬움,9,6, , , , , ,2016-12-31,113200101
124,124,13105,113200102,도봉산_자운봉, , ,0.77,쉬움,14,10, , , , , ,2016-12-31,113200101
125,125,13106,113200102,도봉산_자운봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,113200101
126,126,13107,113200102,도봉산_자운봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,113200101
127,127,13108,113200102,도봉산_자운봉, , ,0.59,중간,13,9, , , , , ,2016-12-31,113200101
128,128,13109,113200102,도봉산_자운봉, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,113200101
129,129,13110,113200102,도봉산_자운봉, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,113200101
130,130,13111,113200102,도봉산_자운봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,113200101
