,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,13455,469104801,독실산,가거도리구간, ,1.68,쉬움,50,35, , , , , ,2016-12-31,469104801
1,1,13456,469104801,독실산,가거도리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,469104801
2,2,13457,469104801,독실산,가거도리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,469104801
3,3,13458,469104801,독실산,가거도리구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,469104801
4,4,13459,469104801,독실산,가거도리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,469104801
5,5,13460,469104801,독실산,가거도리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,469104801
6,6,13461,469104801,독실산,가거도리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,469104801
7,7,13462,469104801,독실산,가거도리구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,469104801
8,8,13463,469104801,독실산,가거도리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,469104801
9,9,13464,469104801,독실산,가거도리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,469104801
10,10,13465,469104801,독실산,가거도리구간, ,1.16,쉬움,25,17, , , , , ,2016-12-31,469104801
11,11,13466,469104801,독실산,가거도리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,469104801
12,12,13467,469104801,독실산,가거도리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,469104801
13,13,13468,469104801,독실산,가거도리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,469104801
14,14,13469,469104801,독실산,가거도리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,469104801
15,15,13470,469104801,독실산,가거도리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,469104801
16,16,13471,469104801,독실산,가거도리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,469104801
17,17,13472,469104801,독실산,가거도리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,469104801
18,18,13473,469104801,독실산,가거도리구간, ,0.91,쉬움,16,11, , , , , ,2016-12-31,469104801
19,19,13474,469104801,독실산,가거도리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,469104801
20,20,13475,469104801,독실산,가거도리구간, ,1.2,쉬움,21,15, , , , , ,2016-12-31,469104801
21,21,13476,469104801,독실산,가거도리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,469104801
22,22,13477,469104801,독실산,가거도리구간, ,2.17,쉬움,38,27, , , , , ,2016-12-31,469104801
23,23,13478,469104801,독실산,가거도리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,469104801
24,24,13479,469104801,독실산,가거도리구간, ,1.98,쉬움,35,24, , , , , ,2016-12-31,469104801
25,25,13480,469104801,독실산,가거도리구간, ,0.69,쉬움,12,9, , , , , ,2016-12-31,469104801
26,26,13481,469104801,독실산,가거도리구간, ,1.14,쉬움,20,14, , , , , ,2016-12-31,469104801
