,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,13504,472804801,돈달산,흥덕동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,472804801
1,1,13505,472804801,돈달산,흥덕동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,472804801
2,2,13506,472804801,돈달산,흥덕동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,472804801
3,3,13507,472804801,돈달산,흥덕동구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,472804801
4,4,13508,472804801,돈달산,흥덕동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,472804801
5,5,13509,472804801,돈달산,흥덕동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,472804801
6,6,13510,472804801,돈달산,흥덕동구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,472804801
7,7,13511,472804801,돈달산,흥덕동구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,472804801
8,8,13512,472804801,돈달산,흥덕동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,472804801
9,9,13513,472804801,돈달산,공평동구간, ,0.6,쉬움,11,7, , , , , ,2016-12-31,472804801
10,10,13514,472804801,돈달산,공평동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,472804801
11,11,13515,472804801,돈달산,흥덕동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,472804801
12,12,13516,472804801,돈달산,흥덕동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,472804801
13,13,13517,472804801,돈달산,흥덕동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,472804801
14,14,13518,472804801,돈달산,흥덕동구간, ,2.02,쉬움,36,25, , , , , ,2016-12-31,472804801
15,15,13519,472804801,돈달산,공평동구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,472804801
