,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,13525,479205204,돈대이,척곡리구간, ,0.65,쉬움,11,8,토반, , , , ,2016-12-31,479205204
1,1,13526,479205204,돈대이,법전리구간, ,0.7,쉬움,12,9,토반, , , , ,2016-12-31,479205204
2,2,13527,479205204,돈대이,법전리구간, ,0.47,쉬움,8,6,토반, , , , ,2016-12-31,479205204
3,3,13528,479205204,돈대이,법전리구간, ,0.72,쉬움,13,9,토반, , , , ,2016-12-31,479205204
4,4,13529,479205204,돈대이,법전리구간, ,0.21,쉬움,4,3,토반, , , , ,2016-12-31,479205204
5,5,13530,479205204,돈대이,척곡리구간, ,0.62,쉬움,11,8,토반, , , , ,2016-12-31,479205204
6,6,13531,479205204,돈대이,법전리구간, ,0.05,쉬움,1,1,토반, , , , ,2016-12-31,479205204
7,7,13532,479205204,돈대이,법전리구간, ,0.1,쉬움,2,1,토반, , , , ,2016-12-31,479205204
8,8,13533,479205204,돈대이,척곡리구간, ,0.08,쉬움,1,1,토반, , , , ,2016-12-31,479205204
9,9,13534,479205204,돈대이,법전리구간, ,0.23,쉬움,4,3,토반, , , , ,2016-12-31,479205204
10,10,13535,479205204,돈대이,법전리구간, ,0.29,쉬움,5,4,토반, , , , ,2016-12-31,479205204
