,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,13982,457100601,동성산,인혜가든초입-단지재구간, ,0.37,쉬움,7,5,암석/전석/토사, , ,"급경사,절벽", ,2016-12-31,457100601
1,1,13983,457100601,동성산,인혜가든초입-단지재구간, ,0.39,쉬움,7,5,암석/전석/토사, , ,"급경사,절벽", ,2016-12-31,457100601
2,2,13984,457100601,동성산,음수교-동성산정상부구간, ,1.42,중간,53,37,암석/전석/토사, , ,암벽주의, ,2016-12-31,457100601
3,3,13985,457100601,동성산,대아리구간, ,0.25,쉬움,4,3,전석/토사, , ,비탈길조심, ,2016-12-31,457100601
4,4,13986,457100601,동성산,단지재-동성산정상부구간, ,0.44,쉬움,8,5,암석/전석/토사, , ,"암벽,미끄러짐주의", ,2016-12-31,457100601
5,5,13987,457100601,동성산,인혜가든초입-단지재구간, ,1.07,쉬움,19,13,암석/전석/토사, , ,"급경사,절벽", ,2016-12-31,457100601
6,6,13988,457100601,동성산,단지재-동성산정상부구간, ,0.89,쉬움,16,11,암석/전석/토사, , ,"암벽,미끄러짐주의", ,2016-12-31,457100601
7,7,13989,457100601,동성산,단지재-동성산정상부구간, ,0.43,중간,9,6,암석/전석/토사, , ,"암벽,미끄러짐주의", ,2016-12-31,457100601
8,8,13990,457100601,동성산,동상면사람들구간, ,1.64,쉬움,49,34,암석/전석/토사, , , , ,2016-12-31,457100601
9,9,13991,457100601,동성산,가세기마을구간, ,2.82,쉬움,106,74,암석/전석/토사, , ,계곡길바위미끄럼주의, ,2016-12-31,457100601
10,10,13992,457100601,동성산,부용선원-동성산정상부구간, ,3.74,쉬움,140,98,암석/전석/토사, , ,"급경사,바위,절벽주의", ,2016-12-31,457100601
11,11,13993,457100601,동성산,인혜가든초입-단지재구간, ,0.27,쉬움,5,3,암석/전석/토사, , ,"급경사,절벽", ,2016-12-31,457100601
