,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,14101,427900601,두류산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2217040600
1,1,14102,427900601,두류산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2217040600
2,2,14103,427900601,두류산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2217040600
3,3,14104,427900601,두류산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2217040600
4,4,14105,427900601,두류산,명월리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,2217040600
5,5,14106,427900601,두류산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2217040600
6,6,14107,427900601,두류산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2217040600
7,7,14108,427900601,두류산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2217040600
8,8,14109,427900601,두류산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2217040600
9,9,14110,427900601,두류산, , ,1.57,쉬움,28,19, , , , , ,2016-12-31,2217040600
10,10,14111,427900601,두류산, , ,0.0,쉬움,1,0, , , , , ,2016-12-31,2217040600
11,11,14112,427900601,두류산, , ,2.25,쉬움,40,28, , , , , ,2016-12-31,2217040600
12,12,14113,427900601,두류산, , ,1.06,쉬움,19,13, , , , , ,2016-12-31,2217040600
13,13,14114,427900601,두류산, , ,1.49,쉬움,26,18, , , , , ,2016-12-31,2217040600
14,14,14115,427900601,두류산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2217040600
15,15,14116,427900601,두류산,명월리구간, ,2.63,쉬움,46,32, , , , , ,2016-12-31,2217040600
16,16,14117,427900601,두류산,명월리구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,2217040600
