,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,14295,451101201,두리봉,우아동1가구간, ,0.46,쉬움,8,6,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
1,1,14296,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,4.28,쉬움,76,53,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
2,2,14297,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,0.27,쉬움,5,3,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
3,3,14298,451101201,두리봉,우아동1가구간, ,1.25,쉬움,27,19,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
4,4,14299,451101201,두리봉,우아동1가구간, ,0.27,쉬움,5,3,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
5,5,14300,451101201,두리봉,우아동관암마을(관암교)-상정동백야마을한남신학교정?, ,1.09,쉬움,19,13,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
6,6,14301,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,0.95,쉬움,17,12,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
7,7,14302,451101201,두리봉,금상동구간, ,0.9,쉬움,16,11,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
8,8,14303,451101201,두리봉,금상동구간, ,0.93,쉬움,16,11,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
9,9,14304,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,0.42,쉬움,7,5,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
10,10,14305,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,0.09,쉬움,2,1,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
11,11,14306,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,0.21,쉬움,4,3,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
12,12,14307,451101201,두리봉,우아동1가구간, ,0.17,쉬움,3,2,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
13,13,14308,451101201,두리봉,우아동1가구간, ,0.87,쉬움,15,11,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
14,14,14309,451101201,두리봉,산정동구간, ,0.18,쉬움,3,2,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
15,15,14310,451101201,두리봉,산정동구간, ,0.25,쉬움,4,3,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
16,16,14311,451101201,두리봉,산정동구간, ,0.03,쉬움,1,0,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
17,17,14312,451101201,두리봉,산정동구간, ,0.17,쉬움,3,2,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
18,18,14313,451101201,두리봉,우아동1가구간, ,0.16,쉬움,3,2,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
19,19,14314,451101201,두리봉,우아동1가관암마을(관암교)-산정동백야마을한남신학교, ,0.04,쉬움,1,0,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
20,20,14315,451101201,두리봉,우아동1가구간, ,0.07,쉬움,1,1,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
21,21,14316,451101201,두리봉,우아동1가구간, ,0.03,쉬움,1,0,토사, , ,"급경사지와, 낙엽이나 토사가 쌓여 미끄러운 구간이 간혹 있음", ,2016-12-31,451101201
