,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,14717,481100301,마금산,신촌리구간, ,0.98,쉬움,29,21, , , , , ,2016-12-31,2815290300
1,1,14718,481100301,마금산,하천리구간, ,1.19,쉬움,21,15, , , , , ,2016-12-31,2815290300
2,2,14719,481100301,마금산,신촌리구간, ,1.19,쉬움,36,25, , , , , ,2016-12-31,2815290300
3,3,14720,481100301,마금산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2815290300
4,4,14721,481100301,마금산, , ,0.51,쉬움,9,6, , , , , ,2016-12-31,2815290300
5,5,14722,481100301,마금산,신촌리구간, ,0.62,중간,16,11, , , , , ,2016-12-31,2815290300
6,6,14723,481100301,마금산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2815290300
7,7,14724,481100301,마금산, , ,0.88,쉬움,16,11, , , , , ,2016-12-31,2815290300
8,8,14725,481100301,마금산,신촌리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,2815290300
9,9,14726,481100301,마금산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2815290300
10,10,14727,481100301,마금산,신촌리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,2815290300
11,11,14728,481100301,마금산,신촌리구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,2815290300
12,12,14729,481100301,마금산,신촌리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,2815290300
13,13,14730,481100301,마금산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2815290300
14,14,14731,481100301,마금산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2815290300
15,15,14732,481100301,마금산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2815290300
