,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,15342,437500401,만뢰산,연곡리구간, ,1.03,쉬움,22,15, , , , , ,2016-12-31,437500401
1,1,15343,437500401,만뢰산,연곡리구간, ,1.15,쉬움,20,14, , , , , ,2016-12-31,437500401
2,2,15344,437500401,만뢰산,연곡리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,437500401
3,3,15345,437500401,만뢰산,연곡리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,437500401
4,4,15346,437500401,만뢰산,상계리구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,437500401
5,5,15347,437500401,만뢰산,연곡리구간, ,0.77,중간,23,16, , , , , ,2016-12-31,437500401
6,6,15348,437500401,만뢰산,대문리구간, ,3.31,쉬움,58,41, , , , , ,2016-12-31,437500401
7,7,15349,437500401,만뢰산,대문리구간, ,3.98,쉬움,100,70, , , , , ,2016-12-31,437500401
8,8,15350,437500401,만뢰산,상계리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,437500401
9,9,15351,437500401,만뢰산,연곡리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,437500401
10,10,15352,437500401,만뢰산,연곡리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,437500401
11,11,15353,437500401,만뢰산,연곡리구간, ,6.13,쉬움,108,76, , , , , ,2016-12-31,437500401
12,12,15354,437500401,만뢰산,연곡리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,437500401
13,13,15355,437500401,만뢰산,연곡리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,437500401
14,14,15356,437500401,만뢰산,연곡리구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,437500401
15,15,15357,437500401,만뢰산,봉항리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,437500401
16,16,15358,437500401,만뢰산,연곡리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,437500401
17,17,15359,437500401,만뢰산,대문리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,437500401
18,18,15360,437500401,만뢰산,연곡리구간, ,1.99,쉬움,35,25, , , , , ,2016-12-31,437500401
19,19,15361,437500401,만뢰산,연곡리구간, ,2.24,쉬움,40,28, , , , , ,2016-12-31,437500401
20,20,15362,437500401,만뢰산,상계리구간, ,1.1,쉬움,28,19, , , , , ,2016-12-31,437500401
21,21,15363,437500401,만뢰산,대문리구간, ,5.33,쉬움,94,66, , , , , ,2016-12-31,437500401
22,22,15364,437500401,만뢰산,대문리구간, ,3.57,쉬움,63,44, , , , , ,2016-12-31,437500401
23,23,15365,437500401,만뢰산,연곡리구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,437500401
24,24,15366,437500401,만뢰산,연곡리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,437500401
25,25,15367,437500401,만뢰산,대문리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,437500401
26,26,15368,437500401,만뢰산,상계리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,437500401
27,27,15369,437500401,만뢰산,연곡리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,437500401
