,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,15763,467901201,만연산,동구리구간, ,4.49,쉬움,79,55, , , , , ,2016-12-31,467901201
1,1,15764,467901201,만연산,동구리구간, ,1.43,쉬움,27,19, , , , , ,2016-12-31,467901201
2,2,15765,467901201,만연산,동구리구간, ,1.96,쉬움,35,24, , , , , ,2016-12-31,467901201
3,3,15766,467901201,만연산,수만리구간, ,1.47,쉬움,26,18, , , , , ,2016-12-31,467901201
4,4,15767,467901201,만연산,수만리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,467901201
5,5,15768,467901201,만연산,동구리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,467901201
6,6,15769,467901201,만연산,동구리구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,467901201
7,7,15770,467901201,만연산,동구리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,467901201
8,8,15771,467901201,만연산,동구리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,467901201
9,9,15772,467901201,만연산,동구리구간, ,1.4,쉬움,25,17, , , , , ,2016-12-31,467901201
10,10,15773,467901201,만연산,수만리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,467901201
11,11,15774,467901201,만연산,동구리구간, ,3.12,쉬움,55,39, , , , , ,2016-12-31,467901201
12,12,15775,467901201,만연산,수만리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,467901201
13,13,15776,467901201,만연산,수만리구간, ,1.24,쉬움,27,19, , , , , ,2016-12-31,467901201
14,14,15777,467901201,만연산,동구리구간, ,1.05,쉬움,19,13, , , , , ,2016-12-31,467901201
15,15,15778,467901201,만연산,동구리구간, ,0.92,쉬움,16,11, , , , , ,2016-12-31,467901201
16,16,15779,467901201,만연산,동구리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,467901201
17,17,15780,467901201,만연산,수만리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,467901201
18,18,15781,467901201,만연산,수만리구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,467901201
