,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,16450,427605801,매산,봉산리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,427605801
1,1,16451,427605801,매산,송정리구간, ,0.93,쉬움,16,11, , ,Y, , ,2016-12-31,427605801
2,2,16452,427605801,매산,송정리구간, ,2.61,쉬움,46,32, , ,Y, , ,2016-12-31,427605801
3,3,16453,427605801,매산,호명리구간, ,1.86,쉬움,33,23, , , , , ,2016-12-31,427605801
4,4,16454,427605801,매산,송정리구간, ,1.23,쉬움,22,15, , , , , ,2016-12-31,427605801
5,5,16455,427605801,매산,유천리구간, ,0.85,쉬움,15,11, , ,Y, , ,2016-12-31,427605801
6,6,16456,427605801,매산,송정리구간, ,1.34,쉬움,24,17, , , , , ,2016-12-31,427605801
7,7,16457,427605801,매산,호명리구간, ,5.68,쉬움,213,149, , , , , ,2016-12-31,427605801
8,8,16458,427605801,매산,유천리구간, ,1.08,쉬움,19,13, , , , , ,2016-12-31,427605801
9,9,16459,427605801,매산,송정리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,427605801
10,10,16460,427605801,매산,송정리구간, ,3.23,쉬움,57,40, , , , , ,2016-12-31,427605801
