,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,16484,457203101,명도봉,주양리구간, ,0.61,중간,15,11, , , , , ,2016-12-31,457203101
1,1,16485,457203101,명도봉,대불리구간, ,0.58,쉬움,10,7, , , , , ,2016-12-31,457203101
2,2,16486,457203101,명도봉,주양리구간, ,0.54,쉬움,10,7, , , , , ,2016-12-31,457203101
3,3,16487,457203101,명도봉,주양리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,457203101
4,4,16488,457203101,명도봉,주양리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,457203101
5,5,16489,457203101,명도봉,주양리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,457203101
6,6,16490,457203101,명도봉,주양리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,457203101
7,7,16491,457203101,명도봉,주양리구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,457203101
8,8,16492,457203101,명도봉,주양리구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,457203101
9,9,16493,457203101,명도봉,주양리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,457203101
10,10,16494,457203101,명도봉,주양리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,457203101
11,11,16495,457203101,명도봉,주양리구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,457203101
12,12,16496,457203101,명도봉,주양리구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,457203101
13,13,16497,457203101,명도봉,주양리구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,457203101
14,14,16498,457203101,명도봉,주양리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,457203101
15,15,16499,457203101,명도봉,주양리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,457203101
16,16,16500,457203101,명도봉,주양리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,457203101
17,17,16501,457203101,명도봉,주양리구간, ,1.22,쉬움,22,15, , , , , ,2016-12-31,457203101
18,18,16502,457203101,명도봉,대불리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,457203101
19,19,16503,457203101,명도봉,주양리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,457203101
20,20,16504,457203101,명도봉,주양리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,457203101
21,21,16505,457203101,명도봉,주양리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,457203101
22,22,16506,457203101,명도봉,주양리구간, ,1.44,쉬움,25,18, , , , , ,2016-12-31,457203101
23,23,16507,457203101,명도봉,주양리구간, ,1.6,쉬움,60,42, , , , , ,2016-12-31,457203101
24,24,16508,457203101,명도봉,주양리구간, ,1.07,쉬움,19,13, , , , , ,2016-12-31,457203101
25,25,16509,457203101,명도봉,주양리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,457203101
26,26,16510,457203101,명도봉,주양리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,457203101
27,27,16511,457203101,명도봉,신양리구간, ,1.49,쉬움,26,18, , , , , ,2016-12-31,457203101
28,28,16512,457203101,명도봉,주양리구간, ,0.67,쉬움,12,8, , , , , ,2016-12-31,457203101
29,29,16513,457203101,명도봉,주양리구간, ,0.06,중간,1,1, , , , , ,2016-12-31,457203101
30,30,16514,457203101,명도봉,대불리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,457203101
31,31,16515,457203101,명도봉,주양리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,457203101
32,32,16516,457203101,명도봉,대불리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,457203101
33,33,16517,457203101,명도봉,대불리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,457203101
34,34,16518,457203101,명도봉,대불리구간, ,0.45,중간,10,7, , , , , ,2016-12-31,457203101
35,35,16519,457203101,명도봉,주양리구간, ,1.32,쉬움,33,23, , , , , ,2016-12-31,457203101
