,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,16520,483106604,명동재, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,483102601
1,1,16521,483106604,명동재,하청리구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,483102601
2,2,16522,483106604,명동재, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,483102601
3,3,16523,483106604,명동재, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,483102601
4,4,16524,483106604,명동재, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,483102601
5,5,16525,483106604,명동재,하청리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,483102601
6,6,16526,483106604,명동재, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,483102601
7,7,16527,483106604,명동재, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,483102601
8,8,16528,483106604,명동재, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,483102601
9,9,16529,483106604,명동재, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,483102601
10,10,16530,483106604,명동재, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,483102601
11,11,16531,483106604,명동재,하청리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,483102601
12,12,16532,483106604,명동재,하청리구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,483102601
13,13,16533,483106604,명동재, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,483102601
14,14,16534,483106604,명동재,하청리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,483102601
15,15,16535,483106604,명동재, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,483102601
16,16,16536,483106604,명동재, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,483102601
17,17,16537,483106604,명동재,하청리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,483102601
