,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,16639,421502701,모산봉,유산동구간, ,0.68,쉬움,12,8, , , , , ,2016-12-31,2201481500
1,1,16640,421502701,모산봉,장현동구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,2201481500
2,2,16641,421502701,모산봉, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2201481500
3,3,16642,421502701,모산봉,유산동구간, ,0.27,쉬움,5,3, , , , , ,2016-12-31,2201481500
4,4,16643,421502701,모산봉,유산동구간, ,0.23,중간,4,3, , , , , ,2016-12-31,2201481500
5,5,16644,421502701,모산봉,유산동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,2201481500
6,6,16645,421502701,모산봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2201481500
7,7,16646,421502701,모산봉, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2201481500
8,8,16647,421502701,모산봉, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2201481500
9,9,16648,421502701,모산봉,장현동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,2201481500
10,10,16649,421502701,모산봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2201481500
11,11,16650,421502701,모산봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2201481500
12,12,16651,421502701,모산봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2201481500
13,13,16652,421502701,모산봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2201481500
14,14,16653,421502701,모산봉, , ,1.01,쉬움,18,12, , , , , ,2016-12-31,2201481500
15,15,16654,421502701,모산봉,내곡동구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,2201481500
