,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,16880,452100701,모악산,청도리구간, ,0.99,쉬움,17,12, , , , , ,2016-12-31,2503060700
1,1,16881,452100701,모악산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2503060700
2,2,16882,452100701,모악산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2503060700
3,3,16883,452100701,모악산, , ,0.57,쉬움,10,7, , , , , ,2016-12-31,2503060700
4,4,16884,452100701,모악산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2503060700
5,5,16885,452100701,모악산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2503060700
6,6,16886,452100701,모악산, , ,0.64,쉬움,11,8, , , , , ,2016-12-31,2503060700
7,7,16887,452100701,모악산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2503060700
8,8,16888,452100701,모악산,중인동구간, ,2.54,쉬움,45,31, , , , , ,2016-12-31,2503060700
9,9,16889,452100701,모악산, , ,1.61,쉬움,28,20, , , , , ,2016-12-31,2503060700
10,10,16890,452100701,모악산, , ,0.65,쉬움,11,8, , , , , ,2016-12-31,2503060700
11,11,16891,452100701,모악산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,2503060700
12,12,16892,452100701,모악산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2503060700
13,13,16893,452100701,모악산, , ,1.88,쉬움,33,23, , , , , ,2016-12-31,2503060700
14,14,16894,452100701,모악산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,2503060700
15,15,16895,452100701,모악산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2503060700
16,16,16896,452100701,모악산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2503060700
17,17,16897,452100701,모악산, , ,1.34,쉬움,24,17, , , , , ,2016-12-31,2503060700
18,18,16898,452100701,모악산, , ,0.84,쉬움,15,10, , , , , ,2016-12-31,2503060700
19,19,16899,452100701,모악산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,2503060700
20,20,16900,452100701,모악산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2503060700
21,21,16901,452100701,모악산,용복동구간, ,0.48,쉬움,9,6, , , , , ,2016-12-31,2503060700
22,22,16902,452100701,모악산,용복동구간, ,0.5,쉬움,9,6, , , , , ,2016-12-31,2503060700
23,23,16903,452100701,모악산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2503060700
24,24,16904,452100701,모악산, , ,0.38,쉬움,7,5, , , , , ,2016-12-31,2503060700
25,25,16905,452100701,모악산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2503060700
26,26,16906,452100701,모악산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2503060700
27,27,16907,452100701,모악산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2503060700
28,28,16908,452100701,모악산, , ,1.08,쉬움,19,13, , , , , ,2016-12-31,2503060700
29,29,16909,452100701,모악산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,2503060700
30,30,16910,452100701,모악산, , ,1.46,쉬움,26,18, , , , , ,2016-12-31,2503060700
31,31,16911,452100701,모악산, , ,0.42,쉬움,7,5, , , , , ,2016-12-31,2503060700
