,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,18332,281850101,문학산,연수동구간, ,0.45,쉬움,8,6, , ,Y, , ,2016-12-31,1408070100
1,1,18333,281850101,문학산,연수동구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,1408070100
2,2,18334,281850101,문학산,연수동구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,1408070100
3,3,18335,281850101,문학산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,1408070100
4,4,18336,281850101,문학산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,1408070100
5,5,18337,281850101,문학산, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,1408070100
6,6,18338,281850101,문학산,문학동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,1408070100
7,7,18339,281850101,문학산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,1408070100
8,8,18340,281850101,문학산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,1408070100
9,9,18341,281850101,문학산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,1408070100
10,10,18342,281850101,문학산,선학동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,1408070100
11,11,18343,281850101,문학산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,1408070100
12,12,18344,281850101,문학산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,1408070100
13,13,18345,281850101,문학산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,1408070100
14,14,18346,281850101,문학산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,1408070100
15,15,18347,281850101,문학산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,1408070100
