,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,18780,416101401,문형산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2107111000
1,1,18781,416101401,문형산,문형리구간, ,1.4,쉬움,25,17, , , , , ,2016-12-31,2107111000
2,2,18782,416101401,문형산,문형리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,2107111000
3,3,18783,416101401,문형산,목동구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,2107111000
4,4,18784,416101401,문형산,신현리구간, ,0.62,쉬움,11,8, , , , , ,2016-12-31,2107111000
5,5,18785,416101401,문형산, , ,1.25,쉬움,22,15, , , , , ,2016-12-31,2107111000
6,6,18786,416101401,문형산, , ,1.26,쉬움,22,16, , , , , ,2016-12-31,2107111000
7,7,18787,416101401,문형산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2107111000
8,8,18788,416101401,문형산,추자리구간, ,0.94,쉬움,18,12, , , , , ,2016-12-31,2107111000
9,9,18789,416101401,문형산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,2107111000
10,10,18790,416101401,문형산, , ,0.99,쉬움,17,12, , , , , ,2016-12-31,2107111000
11,11,18791,416101401,문형산,고산리구간, ,0.51,쉬움,9,6, , , , , ,2016-12-31,2107111000
12,12,18792,416101401,문형산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2107111000
13,13,18793,416101401,문형산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2107111000
14,14,18794,416101401,문형산, , ,0.48,쉬움,8,6, , , , , ,2016-12-31,2107111000
15,15,18795,416101401,문형산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,2107111000
16,16,18796,416101401,문형산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2107111000
17,17,18797,416101401,문형산, , ,1.04,쉬움,18,13, , , , , ,2016-12-31,2107111000
18,18,18798,416101401,문형산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,2107111000
