,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,19051,482201101,미륵산, , ,0.66,쉬움,12,8, , , , , ,2016-12-31,2816111100
1,1,19052,482201101,미륵산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816111100
2,2,19053,482201101,미륵산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2816111100
3,3,19054,482201101,미륵산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2816111100
4,4,19055,482201101,미륵산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2816111100
5,5,19056,482201101,미륵산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2816111100
6,6,19057,482201101,미륵산, , ,0.73,쉬움,13,9, , , , , ,2016-12-31,2816111100
7,7,19058,482201101,미륵산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2816111100
8,8,19059,482201101,미륵산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2816111100
9,9,19060,482201101,미륵산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2816111100
10,10,19061,482201101,미륵산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,2816111100
11,11,19062,482201101,미륵산,영운리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2816111100
12,12,19063,482201101,미륵산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2816111100
13,13,19064,482201101,미륵산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2816111100
14,14,19065,482201101,미륵산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2816111100
15,15,19066,482201101,미륵산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2816111100
16,16,19067,482201101,미륵산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2816111100
17,17,19068,482201101,미륵산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2816111100
18,18,19069,482201101,미륵산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2816111100
19,19,19070,482201101,미륵산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2816111100
20,20,19071,482201101,미륵산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816111100
21,21,19072,482201101,미륵산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2816111100
22,22,19073,482201101,미륵산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2816111100
23,23,19074,482201101,미륵산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2816111100
24,24,19075,482201101,미륵산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2816111100
25,25,19076,482201101,미륵산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2816111100
26,26,19077,482201101,미륵산, , ,0.45,쉬움,8,6, , , , , ,2016-12-31,2816111100
27,27,19078,482201101,미륵산,영운리구간, ,1.02,쉬움,18,13, , , , , ,2016-12-31,2816111100
28,28,19079,482201101,미륵산,영운리구간, ,0.44,쉬움,8,5, , , , , ,2016-12-31,2816111100
29,29,19080,482201101,미륵산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,2816111100
30,30,19081,482201101,미륵산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816111100
31,31,19082,482201101,미륵산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,2816111100
32,32,19083,482201101,미륵산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2816111100
33,33,19084,482201101,미륵산,남평리구간, ,0.55,쉬움,10,7, , , , , ,2016-12-31,2816111100
