,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,19526,265000404,민안초등학교뒷산,민락동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,265000404
1,1,19527,265000404,민안초등학교뒷산,민락동구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,265000404
2,2,19528,265000404,민안초등학교뒷산,민락동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,265000404
3,3,19529,265000404,민안초등학교뒷산,민락동구간, ,0.11,쉬움,2,1, , ,Y, , ,2016-12-31,265000404
4,4,19530,265000404,민안초등학교뒷산,민락동구간, ,0.13,중간,2,2, , , , , ,2016-12-31,265000404
5,5,19531,265000404,민안초등학교뒷산,민락동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,265000404
6,6,19532,265000404,민안초등학교뒷산,민락동구간, ,0.14,쉬움,2,2, , ,Y, , ,2016-12-31,265000404
7,7,19533,265000404,민안초등학교뒷산,민락동구간, ,0.28,쉬움,5,3, , ,Y, , ,2016-12-31,265000404
8,8,19534,265000404,민안초등학교뒷산,민락동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,265000404
9,9,19535,265000404,민안초등학교뒷산,민락동구간, ,0.08,쉬움,1,1, , ,Y, , ,2016-12-31,265000404
10,10,19536,265000404,민안초등학교뒷산,민락동구간, ,0.16,쉬움,3,2, , ,Y, , ,2016-12-31,265000404
11,11,19537,265000404,민안초등학교뒷산,민락동구간, ,0.1,쉬움,2,1, , ,Y, , ,2016-12-31,265000404
12,12,19538,265000404,민안초등학교뒷산,민락동구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,265000404
13,13,19539,265000404,민안초등학교뒷산,민락동구간, ,0.36,쉬움,6,4, , , , , ,2016-12-31,265000404
14,14,19540,265000404,민안초등학교뒷산,민락동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,265000404
15,15,19541,265000404,민안초등학교뒷산,민락동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,265000404
16,16,19542,265000404,민안초등학교뒷산,민락동구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,265000404
17,17,19543,265000404,민안초등학교뒷산,민락동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,265000404
