,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,20848,457501001,백련산,방현리구간, ,3.28,쉬움,58,41, , , , , ,2016-12-31,2510011000
1,1,20849,457501001,백련산,두복리구간, ,2.38,쉬움,89,62, , , , , ,2016-12-31,2510011000
2,2,20850,457501001,백련산,백련리구간, ,2.37,쉬움,89,62, , , , , ,2016-12-31,2510011000
3,3,20851,457501001,백련산,두복리구간, ,2.0,쉬움,35,25, , , , , ,2016-12-31,2510011000
4,4,20852,457501001,백련산,방현리구간, ,2.71,쉬움,48,33, , , , , ,2016-12-31,2510011000
5,5,20853,457501001,백련산, , ,2.32,쉬움,41,29, , , , , ,2016-12-31,2510011000
6,6,20854,457501001,백련산,방현리구간, ,0.85,쉬움,21,15, , , , , ,2016-12-31,2510011000
7,7,20855,457501001,백련산,구고리구간, ,0.73,쉬움,14,10, , , , , ,2016-12-31,2510011000
8,8,20856,457501001,백련산,두복리구간, ,1.13,쉬움,20,14, , , , , ,2016-12-31,2510011000
9,9,20857,457501001,백련산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2510011000
10,10,20858,457501001,백련산, , ,1.7,쉬움,30,21, , , , , ,2016-12-31,2510011000
11,11,20859,457501001,백련산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,2510011000
12,12,20860,457501001,백련산, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2510011000
13,13,20861,457501001,백련산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2510011000
14,14,20862,457501001,백련산,두복리구간, ,0.08,중간,1,1, , , , , ,2016-12-31,2510011000
15,15,20863,457501001,백련산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2510011000
16,16,20864,457501001,백련산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2510011000
17,17,20865,457501001,백련산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2510011000
18,18,20866,457501001,백련산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2510011000
