,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,20951,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.14,쉬움,2,2,토사, , ,"뱀,벌", ,2016-12-31,447103601
1,1,20952,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.11,쉬움,2,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
2,2,20953,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.08,쉬움,1,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
3,3,20954,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.1,쉬움,2,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
4,4,20955,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.11,쉬움,2,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
5,5,20956,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.25,쉬움,4,3,토사, , ,"뱀,벌", ,2016-12-31,447103601
6,6,20957,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.15,쉬움,3,2,토사, , ,"뱀,벌", ,2016-12-31,447103601
7,7,20958,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.1,쉬움,2,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
8,8,20959,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.05,쉬움,1,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
9,9,20960,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.02,쉬움,1,0,토사, , ,"뱀,벌", ,2016-12-31,447103601
10,10,20961,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.04,쉬움,1,0,토사, , ,"뱀,벌", ,2016-12-31,447103601
11,11,20962,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.15,쉬움,3,2,토사, , ,"뱀,벌", ,2016-12-31,447103601
12,12,20963,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.08,쉬움,1,1,토사, , ,"뱀,벌", ,2016-12-31,447103601
13,13,20964,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.15,쉬움,3,2,토사, , ,"뱀,벌", ,2016-12-31,447103601
14,14,20965,447103601,백마산,부암리부수바위마을앞다리건너편구간, ,0.86,쉬움,15,11,토사, , ,"뱀,벌", ,2016-12-31,447103601
