,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,22045,416501801,백운산,도평리구간, ,3.13,쉬움,55,39, , , , , ,2016-12-31,416501801
1,1,22046,416501801,백운산,도평리구간, ,0.56,쉬움,10,7, , , , , ,2016-12-31,416501801
2,2,22047,416501801,백운산,도평리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,416501801
3,3,22048,416501801,백운산, , ,2.7,쉬움,48,33, , , , , ,2016-12-31,2142141300
4,4,22049,416501801,백운산, , ,2.06,쉬움,36,25, , , , , ,2016-12-31,2142141300
5,5,22050,416501801,백운산,도평리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,2142141300
6,6,22051,416501801,백운산,도평리구간, ,3.13,쉬움,55,39, , , , , ,2016-12-31,2142141300
7,7,22052,416501801,백운산,도평리구간, ,1.31,쉬움,23,16, , , , , ,2016-12-31,2142141300
8,8,22053,416501801,백운산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2142141300
9,9,22054,416501801,백운산, , ,0.01,중간,1,0, , , , , ,2016-12-31,2142141300
10,10,22055,416501801,백운산,도평리구간, ,1.09,쉬움,19,13, , , , , ,2016-12-31,2142141300
11,11,22056,416501801,백운산, , ,0.91,쉬움,16,11, , , , , ,2016-12-31,2142141300
12,12,22057,416501801,백운산,도평리구간, ,0.05,쉬움,1,1, , , , , ,2016-12-31,2142141300
13,13,22058,416501801,백운산,도평리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,2142141300
14,14,22059,416501801,백운산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,2142141300
