,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,22193,441800801,백월산,나원리구간, ,2.77,쉬움,69,48, , , , , ,2016-12-31,441800801
1,1,22194,441800801,백월산,나원리구간, ,0.9,쉬움,16,11, , , , , ,2016-12-31,441800801
2,2,22195,441800801,백월산,소양리구간, ,0.76,쉬움,13,9, , , , , ,2016-12-31,441800801
3,3,22196,441800801,백월산,소양리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441800801
4,4,22197,441800801,백월산,장계리구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,441800801
5,5,22198,441800801,백월산,장계리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,441800801
6,6,22199,441800801,백월산,장계리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,441800801
7,7,22200,441800801,백월산,장계리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441800801
8,8,22201,441800801,백월산,산정리구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,441800801
9,9,22202,441800801,백월산,소양리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,441800801
10,10,22203,441800801,백월산,장계리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,441800801
11,11,22204,441800801,백월산,장계리구간, ,0.48,쉬움,8,6, , , , , ,2016-12-31,441800801
12,12,22205,441800801,백월산,장계리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,441800801
13,13,22206,441800801,백월산,장계리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441800801
14,14,22207,441800801,백월산,소양리구간, ,0.64,쉬움,11,8, , , , , ,2016-12-31,441800801
15,15,22208,441800801,백월산,장계리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,441800801
16,16,22209,441800801,백월산,장계리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,441800801
17,17,22210,441800801,백월산,소양리구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,441800801
18,18,22211,441800801,백월산,소양리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,441800801
19,19,22212,441800801,백월산,소양리구간, ,0.53,쉬움,9,7, , , , , ,2016-12-31,441800801
20,20,22213,441800801,백월산,소양리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,441800801
21,21,22214,441800801,백월산,소양리구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,441800801
22,22,22215,441800801,백월산,나원리구간, ,0.33,쉬움,6,4, , , , , ,2016-12-31,441800801
