,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,22603,414601801,법화산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414611301
1,1,22604,414601801,법화산, , ,0.6,쉬움,11,7, , , , , ,2016-12-31,414611301
2,2,22605,414601801,법화산,오산리구간, ,0.65,쉬움,11,8, , , , , ,2016-12-31,414611301
3,3,22606,414601801,법화산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,414611301
4,4,22607,414601801,법화산,오산리구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,414611301
5,5,22608,414601801,법화산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,414611301
6,6,22609,414601801,법화산,오산리구간, ,1.1,쉬움,19,14, , , , , ,2016-12-31,414611301
7,7,22610,414601801,법화산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,414611301
8,8,22611,414601801,법화산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,414611301
9,9,22612,414601801,법화산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611301
10,10,22613,414601801,법화산,청덕동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414630101
11,11,22614,414601801,법화산,청덕동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,414630101
12,12,22615,414601801,법화산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414630101
13,13,22616,414601801,법화산, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,414630101
14,14,22617,414601801,법화산,청덕동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414630101
15,15,22618,414601801,법화산,언남동구간, ,0.75,쉬움,13,9, , , , , ,2016-12-31,414630101
16,16,22619,414601801,법화산,청덕동구간, ,0.42,쉬움,7,5, , , , , ,2016-12-31,414630101
17,17,22620,414601801,법화산,언남동구간, ,0.78,쉬움,14,10, , , , , ,2016-12-31,414630101
18,18,22621,414601801,법화산,청덕동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,414630101
19,19,22622,414601801,법화산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414630101
20,20,22623,414601801,법화산,청덕동구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,414630101
21,21,22624,414601801,법화산,청덕동구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,414630101
22,22,22625,414601801,법화산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,414630101
23,23,22626,414601801,법화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414630101
24,24,22627,414601801,법화산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,414630101
25,25,22628,414601801,법화산, , ,0.46,쉬움,8,6, , , , , ,2016-12-31,414630101
26,26,22629,414601801,법화산,청덕동구간, ,0.45,쉬움,8,6, , , , , ,2016-12-31,414630101
27,27,22630,414601801,법화산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,414630101
28,28,22631,414601801,법화산,언남동구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,414630101
29,29,22632,414601801,법화산,청덕동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,414630101
30,30,22633,414601801,법화산,청덕동구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,414630101
31,31,22634,414601801,법화산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,414630101
32,32,22635,414601801,법화산,마북동구간, ,0.32,쉬움,6,4, , , , , ,2016-12-31,414630101
33,33,22636,414601801,법화산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,414630101
34,34,22637,414601801,법화산,청덕동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,414630101
35,35,22638,414601801,법화산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,414630101
36,36,22639,414601801,법화산, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,414630101
37,37,22640,414601801,법화산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414630101
38,38,22641,414601801,법화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414630101
39,39,22642,414601801,법화산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414630101
40,40,22643,414601801,법화산,마북동구간, ,0.03,중간,1,0, , , , , ,2016-12-31,414630101
41,41,22644,414601801,법화산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,414630101
42,42,22645,414601801,법화산, , ,0.36,쉬움,6,4, , , , , ,2016-12-31,414630101
43,43,22646,414601801,법화산, , ,0.87,쉬움,15,11, , , , , ,2016-12-31,414630101
44,44,22647,414601801,법화산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,414630101
45,45,22648,414601801,법화산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,414630101
46,46,22649,414601801,법화산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,414630101
47,47,22650,414601801,법화산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,414630101
48,48,22651,414601801,법화산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,414630101
49,49,22652,414601801,법화산, , ,0.34,쉬움,6,4, , , , , ,2016-12-31,414630101
50,50,22653,414601801,법화산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,414630101
51,51,22654,414601801,법화산, , ,0.52,쉬움,9,6, , , , , ,2016-12-31,414630101
52,52,22655,414601801,법화산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,414630101
53,53,22656,414601801,법화산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,414630101
54,54,22657,414601801,법화산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,414630101
55,55,22658,414601801,법화산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414630101
56,56,22659,414601801,법화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,414630101
57,57,22660,414601801,법화산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414630101
58,58,22661,414601801,법화산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414630101
59,59,22662,414601801,법화산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,414630101
60,60,22663,414601801,법화산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414630101
61,61,22664,414601801,법화산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,414630101
