,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,22735,482201301,벽방산,관덕리구간, ,2.72,쉬움,48,34, , , , , ,2016-12-31,482201301
1,1,22736,482201301,벽방산,관덕리구간, ,1.51,쉬움,27,19, , , , , ,2016-12-31,482201301
2,2,22737,482201301,벽방산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,482201301
3,3,22738,482201301,벽방산,관덕리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,482201301
4,4,22739,482201301,벽방산,도선리구간, ,0.6,쉬움,11,8, , , , , ,2016-12-31,482201301
5,5,22740,482201301,벽방산, , ,0.74,쉬움,13,9, , , , , ,2016-12-31,482201301
6,6,22741,482201301,벽방산,은월리구간, ,2.54,쉬움,95,67, , , , , ,2016-12-31,2816041300
7,7,22742,482201301,벽방산,은월리구간, ,0.92,중간,35,24, , , , , ,2016-12-31,2816041300
8,8,22743,482201301,벽방산, , ,0.94,쉬움,17,12, , , , , ,2016-12-31,2816041300
9,9,22744,482201301,벽방산,우동리구간, ,1.11,쉬움,20,14, , , , , ,2016-12-31,2816041300
10,10,22745,482201301,벽방산,도선리구간, ,1.51,쉬움,28,20, , , , , ,2016-12-31,2816041300
11,11,22746,482201301,벽방산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2816041300
12,12,22747,482201301,벽방산, , ,0.49,쉬움,9,6, , , , , ,2016-12-31,2816041300
13,13,22748,482201301,벽방산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,2816041300
14,14,22749,482201301,벽방산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2816041300
15,15,22750,482201301,벽방산, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2816041300
16,16,22751,482201301,벽방산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2816041300
17,17,22752,482201301,벽방산, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2816041300
18,18,22753,482201301,벽방산, , ,0.41,쉬움,7,5, , , , , ,2016-12-31,2816041300
19,19,22754,482201301,벽방산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2816041300
20,20,22755,482201301,벽방산, , ,0.68,쉬움,12,8, , , , , ,2016-12-31,2816041300
21,21,22756,482201301,벽방산, , ,2.34,쉬움,41,29, , , , , ,2016-12-31,2816041300
22,22,22757,482201301,벽방산, , ,0.8,쉬움,14,10, , , , , ,2016-12-31,2816041300
23,23,22758,482201301,벽방산, , ,0.83,쉬움,15,10, , , , , ,2016-12-31,2816041300
24,24,22759,482201301,벽방산,안정리구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,2816041300
25,25,22760,482201301,벽방산,우동리구간, ,1.28,쉬움,23,16, , , , , ,2016-12-31,2816041300
26,26,22761,482201301,벽방산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2816041300
27,27,22762,482201301,벽방산,안정리구간, ,1.04,쉬움,31,22, , , , , ,2016-12-31,2816041300
28,28,22763,482201301,벽방산, , ,1.66,쉬움,29,21, , , , , ,2016-12-31,2816041300
29,29,22764,482201301,벽방산,안정리구간, ,0.17,쉬움,3,2, , , , , ,2016-12-31,2816041300
30,30,22765,482201301,벽방산,황리구간, ,1.22,쉬움,31,21, , , , , ,2016-12-31,2816041300
31,31,22766,482201301,벽방산,원산리구간, ,0.81,쉬움,14,10, , , , , ,2016-12-31,2816041300
32,32,22767,482201301,벽방산,원산리구간, ,0.7,쉬움,12,9, , , , , ,2016-12-31,2816041300
33,33,22768,482201301,벽방산, , ,0.4,쉬움,7,5, , , , , ,2016-12-31,2816041300
34,34,22769,482201301,벽방산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2816041300
35,35,22770,482201301,벽방산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2816041300
36,36,22771,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
37,37,22772,482201301,벽방산,우동리구간, ,0.53,쉬움,10,7, , , , , ,2016-12-31,2816041300
38,38,22773,482201301,벽방산,원산리구간, ,1.3,쉬움,23,16, , , , , ,2016-12-31,2816041300
39,39,22774,482201301,벽방산, , ,0.67,쉬움,12,8, , , , , ,2016-12-31,2816041300
40,40,22775,482201301,벽방산, , ,0.72,쉬움,13,9, , , , , ,2016-12-31,2816041300
41,41,22776,482201301,벽방산, , ,1.11,쉬움,20,14, , , , , ,2016-12-31,2816041300
42,42,22777,482201301,벽방산,우동리구간, ,1.71,쉬움,51,36, , , , , ,2016-12-31,2816041300
43,43,22778,482201301,벽방산,우동리구간, ,0.68,쉬움,13,9, , , , , ,2016-12-31,2816041300
44,44,22779,482201301,벽방산,우동리구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,2816041300
45,45,22780,482201301,벽방산,노산리구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,2816041300
46,46,22781,482201301,벽방산,노산리구간, ,0.57,쉬움,10,7, , , , , ,2016-12-31,2816041300
47,47,22782,482201301,벽방산,노산리구간, ,0.2,쉬움,4,2, , , , , ,2016-12-31,2816041300
48,48,22783,482201301,벽방산,노산리구간, ,0.01,쉬움,1,0, , , , , ,2016-12-31,2816041300
49,49,22784,482201301,벽방산,안정리구간, ,0.16,쉬움,3,2, , , , , ,2016-12-31,2816041300
50,50,22785,482201301,벽방산,원산리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,2816041300
51,51,22786,482201301,벽방산,안정리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
52,52,22787,482201301,벽방산,안정리구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
53,53,22788,482201301,벽방산,안정리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2816041300
54,54,22789,482201301,벽방산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2816041300
55,55,22790,482201301,벽방산,안정리구간, ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
56,56,22791,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
57,57,22792,482201301,벽방산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2816041300
58,58,22793,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
59,59,22794,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
60,60,22795,482201301,벽방산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
61,61,22796,482201301,벽방산,황리구간, ,0.94,쉬움,17,12, , , , , ,2016-12-31,2816041300
62,62,22797,482201301,벽방산,원산리구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,2816041300
63,63,22798,482201301,벽방산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2816041300
64,64,22799,482201301,벽방산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2816041300
65,65,22800,482201301,벽방산,안정리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
66,66,22801,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
67,67,22802,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
68,68,22803,482201301,벽방산, , ,0.35,쉬움,6,4, , , , , ,2016-12-31,2816041300
69,69,22804,482201301,벽방산,안정리구간, ,0.25,쉬움,4,3, , , , , ,2016-12-31,2816041300
70,70,22805,482201301,벽방산,안정리구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
71,71,22806,482201301,벽방산,안정리구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2816041300
72,72,22807,482201301,벽방산, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2816041300
73,73,22808,482201301,벽방산, , ,0.43,쉬움,8,5, , , , , ,2016-12-31,2816041300
74,74,22809,482201301,벽방산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2816041300
75,75,22810,482201301,벽방산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2816041300
76,76,22811,482201301,벽방산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2816041300
77,77,22812,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
78,78,22813,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
79,79,22814,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
80,80,22815,482201301,벽방산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,2816041300
81,81,22816,482201301,벽방산,안정리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,2816041300
82,82,22817,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
83,83,22818,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
84,84,22819,482201301,벽방산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2816041300
85,85,22820,482201301,벽방산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2816041300
86,86,22821,482201301,벽방산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2816041300
87,87,22822,482201301,벽방산,안정리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,2816041300
88,88,22823,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
89,89,22824,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
90,90,22825,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
91,91,22826,482201301,벽방산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2816041300
92,92,22827,482201301,벽방산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
93,93,22828,482201301,벽방산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2816041300
94,94,22829,482201301,벽방산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
95,95,22830,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
96,96,22831,482201301,벽방산,안정리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
97,97,22832,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
98,98,22833,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
99,99,22834,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
100,100,22835,482201301,벽방산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2816041300
101,101,22836,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
102,102,22837,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
103,103,22838,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
104,104,22839,482201301,벽방산, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2816041300
105,105,22840,482201301,벽방산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,2816041300
106,106,22841,482201301,벽방산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,2816041300
107,107,22842,482201301,벽방산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
108,108,22843,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
109,109,22844,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
110,110,22845,482201301,벽방산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,2816041300
111,111,22846,482201301,벽방산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2816041300
112,112,22847,482201301,벽방산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2816041300
113,113,22848,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
114,114,22849,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
115,115,22850,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
116,116,22851,482201301,벽방산, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2816041300
117,117,22852,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
118,118,22853,482201301,벽방산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2816041300
