,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,24461,414604101,봉두산,마평동구간, ,1.24,쉬움,22,15, , , , , ,2016-12-31,414611401
1,1,24462,414604101,봉두산, , ,0.56,쉬움,10,7, , , , , ,2016-12-31,414611401
2,2,24463,414604101,봉두산, , ,1.02,쉬움,18,13, , , , , ,2016-12-31,414611401
3,3,24464,414604101,봉두산,송문리구간, ,1.27,쉬움,24,17, , , , , ,2016-12-31,414611401
4,4,24465,414604101,봉두산,양지리구간, ,0.77,쉬움,14,10, , , , , ,2016-12-31,414611401
5,5,24466,414604101,봉두산,마평동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,414611401
6,6,24467,414604101,봉두산,고림동구간, ,0.13,쉬움,2,2, , , , , ,2016-12-31,414611401
7,7,24468,414604101,봉두산,고림동구간, ,0.34,쉬움,6,4, , , , , ,2016-12-31,414611401
8,8,24469,414604101,봉두산,송문리구간, ,1.33,쉬움,23,16, , , , , ,2016-12-31,414611401
9,9,24470,414604101,봉두산, , ,0.95,쉬움,17,12, , , , , ,2016-12-31,414611401
10,10,24471,414604101,봉두산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,414611401
11,11,24472,414604101,봉두산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414611401
12,12,24473,414604101,봉두산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414611401
13,13,24474,414604101,봉두산, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,414611401
14,14,24475,414604101,봉두산, , ,0.33,쉬움,6,4, , , , , ,2016-12-31,414611401
15,15,24476,414604101,봉두산,마평동구간, ,0.41,쉬움,7,5, , , , , ,2016-12-31,414611401
16,16,24477,414604101,봉두산,마평동구간, ,0.66,쉬움,12,8, , , , , ,2016-12-31,414611401
17,17,24478,414604101,봉두산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,414611401
18,18,24479,414604101,봉두산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,414611401
19,19,24480,414604101,봉두산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414611401
20,20,24481,414604101,봉두산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,414611401
21,21,24482,414604101,봉두산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,414611401
22,22,24483,414604101,봉두산,고림동구간, ,0.12,쉬움,2,1, , , , , ,2016-12-31,414611401
23,23,24484,414604101,봉두산, , ,0.69,쉬움,12,9, , , , , ,2016-12-31,414611401
24,24,24485,414604101,봉두산,고림동구간, ,0.15,중간,3,2, , , , , ,2016-12-31,414611401
25,25,24486,414604101,봉두산, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,414611401
26,26,24487,414604101,봉두산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,414611401
27,27,24488,414604101,봉두산, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,414611401
28,28,24489,414604101,봉두산,고림동구간, ,0.8,쉬움,15,11, , , , , ,2016-12-31,414611401
29,29,24490,414604101,봉두산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,414611401
30,30,24491,414604101,봉두산,주북리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,414611401
31,31,24492,414604101,봉두산, , ,0.3,쉬움,5,4, , , , , ,2016-12-31,414611401
32,32,24493,414604101,봉두산, , ,0.23,쉬움,4,3, , , , , ,2016-12-31,414611401
33,33,24494,414604101,봉두산,고림동구간, ,0.31,쉬움,5,4, , , , , ,2016-12-31,414611401
34,34,24495,414604101,봉두산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,414611401
35,35,24496,414604101,봉두산,마평동구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,414611401
36,36,24497,414604101,봉두산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,414611401
37,37,24498,414604101,봉두산, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,414611401
38,38,24499,414604101,봉두산,고림동구간, ,0.24,쉬움,4,3, , , , , ,2016-12-31,414611401
39,39,24500,414604101,봉두산, , ,0.19,쉬움,3,2, , , , , ,2016-12-31,414611401
40,40,24501,414604101,봉두산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,414611401
41,41,24502,414604101,봉두산, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,414611401
42,42,24503,414604101,봉두산,주북리구간, ,0.89,쉬움,16,11, , , , , ,2016-12-31,414611401
43,43,24504,414604101,봉두산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,414611401
44,44,24505,414604101,봉두산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,414611401
45,45,24506,414604101,봉두산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,414611401
46,46,24507,414604101,봉두산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,414611401
47,47,24508,414604101,봉두산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611401
48,48,24509,414604101,봉두산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611401
49,49,24510,414604101,봉두산,주북리구간, ,0.15,쉬움,3,2, , , , , ,2016-12-31,414611401
50,50,24511,414604101,봉두산, , ,0.82,쉬움,14,10, , , , , ,2016-12-31,414611401
51,51,24512,414604101,봉두산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414611401
52,52,24513,414604101,봉두산, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,414611401
53,53,24514,414604101,봉두산,고림동구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,414611401
54,54,24515,414604101,봉두산, , ,0.77,쉬움,14,10, , , , , ,2016-12-31,414611401
55,55,24516,414604101,봉두산,주북리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,414611401
56,56,24517,414604101,봉두산,주북리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,414611401
57,57,24518,414604101,봉두산, , ,0.29,쉬움,5,4, , , , , ,2016-12-31,414611401
58,58,24519,414604101,봉두산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,414611401
59,59,24520,414604101,봉두산,고림동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,414611401
60,60,24521,414604101,봉두산,고림동구간, ,0.38,쉬움,7,5, , , , , ,2016-12-31,414611401
61,61,24522,414604101,봉두산, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,414611401
62,62,24523,414604101,봉두산, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,414611401
63,63,24524,414604101,봉두산, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,414611401
64,64,24525,414604101,봉두산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,414611401
65,65,24526,414604101,봉두산, , ,0.22,쉬움,4,3, , , , , ,2016-12-31,414611401
66,66,24527,414604101,봉두산, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,414611401
67,67,24528,414604101,봉두산, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,414611401
68,68,24529,414604101,봉두산,고림동구간, ,0.06,쉬움,1,1, , , , , ,2016-12-31,414611401
69,69,24530,414604101,봉두산,고림동구간, ,0.1,쉬움,2,1, , , , , ,2016-12-31,414611401
70,70,24531,414604101,봉두산,고림동구간, ,0.19,쉬움,3,2, , , , , ,2016-12-31,414611401
71,71,24532,414604101,봉두산,고림동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,414611401
72,72,24533,414604101,봉두산,고림동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,414611401
