,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,24925,271401604,봉무공원,봉무동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,271401604
1,1,24926,271401604,봉무공원,봉무동구간, ,0.11,쉬움,2,1,토사, , , , ,2016-12-31,271401604
2,2,24927,271401604,봉무공원,봉무동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,271401604
3,3,24928,271401604,봉무공원,지묘동구간, ,0.99,쉬움,17,12,토사, , , , ,2016-12-31,271401604
4,4,24929,271401604,봉무공원,봉무동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,271401604
5,5,24930,271401604,봉무공원,봉무동구간, ,0.1,쉬움,2,1,토사, , , , ,2016-12-31,271401604
6,6,24931,271401604,봉무공원,지묘동구간, ,0.56,쉬움,10,7,토사, , , , ,2016-12-31,271401604
7,7,24932,271401604,봉무공원,봉무동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,271401604
8,8,24933,271401604,봉무공원,도동구간, ,1.32,쉬움,23,16,토사, , , , ,2016-12-31,271401604
9,9,24934,271401604,봉무공원,도동구간, ,0.18,쉬움,3,2,토사, , , , ,2016-12-31,271401604
10,10,24935,271401604,봉무공원,봉무동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,271401604
11,11,24936,271401604,봉무공원,봉무동구간, ,1.16,쉬움,20,14,토사, , , , ,2016-12-31,271401604
12,12,24937,271401604,봉무공원,봉무동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,271401604
13,13,24938,271401604,봉무공원,도동구간, ,0.13,쉬움,2,2,토사, , , , ,2016-12-31,271401604
14,14,24939,271401604,봉무공원,봉무동구간, ,0.68,쉬움,12,8,토사, , , , ,2016-12-31,271401604
15,15,24940,271401604,봉무공원,도동구간, ,0.29,쉬움,5,4,토사, , , , ,2016-12-31,271401604
16,16,24941,271401604,봉무공원,봉무동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,271401604
17,17,24942,271401604,봉무공원,봉무동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,271401604
18,18,24943,271401604,봉무공원,봉무동구간, ,0.53,쉬움,9,7,토사, , , , ,2016-12-31,271401604
19,19,24944,271401604,봉무공원,봉무동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,271401604
20,20,24945,271401604,봉무공원,봉무동구간, ,0.37,쉬움,7,5,토사, , , , ,2016-12-31,271401604
21,21,24946,271401604,봉무공원,도동구간, ,0.03,쉬움,1,0,토사, , , , ,2016-12-31,271401604
22,22,24947,271401604,봉무공원,봉무동구간, ,0.04,쉬움,1,0,토사, , , , ,2016-12-31,271401604
23,23,24948,271401604,봉무공원,봉무동구간, ,0.23,쉬움,4,3,토사, , , , ,2016-12-31,271401604
24,24,24949,271401604,봉무공원,봉무동구간, ,0.36,쉬움,6,4,토사, , , , ,2016-12-31,271401604
25,25,24950,271401604,봉무공원,봉무동구간, ,0.05,쉬움,1,1,토사, , , , ,2016-12-31,271401604
26,26,24951,271401604,봉무공원,봉무동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,271401604
27,27,24952,271401604,봉무공원,지묘동구간, ,0.82,쉬움,14,10,토사, , , , ,2016-12-31,271401604
28,28,24953,271401604,봉무공원,봉무동구간, ,0.26,쉬움,5,3,토사, , , , ,2016-12-31,271401604
29,29,24954,271401604,봉무공원,봉무동구간, ,0.08,쉬움,1,1,토사, , , , ,2016-12-31,271401604
30,30,24955,271401604,봉무공원,봉무동구간, ,0.24,쉬움,4,3,토사, , , , ,2016-12-31,271401604
31,31,24956,271401604,봉무공원,봉무동구간, ,0.14,쉬움,2,2,토사, , , , ,2016-12-31,271401604
32,32,24957,271401604,봉무공원,봉무동구간, ,0.01,쉬움,1,0,토사, , , , ,2016-12-31,271401604
33,33,24958,271401604,봉무공원,봉무동구간, ,0.07,쉬움,1,1,토사, , , , ,2016-12-31,271401604
34,34,24959,271401604,봉무공원,지묘동구간, ,0.49,쉬움,9,6,토사, , , , ,2016-12-31,271401604
35,35,24960,271401604,봉무공원,지묘동구간, ,0.46,쉬움,8,6,토사, , , , ,2016-12-31,271401604
36,36,24961,271401604,봉무공원,봉무동구간, ,0.06,쉬움,1,1,토사, , , , ,2016-12-31,271401604
37,37,24962,271401604,봉무공원,봉무동구간, ,0.54,쉬움,10,7,토사, , , , ,2016-12-31,271401604
38,38,24963,271401604,봉무공원,도동구간, ,0.02,쉬움,1,0,토사, , , , ,2016-12-31,271401604
39,39,24964,271401604,봉무공원,도동구간, ,0.16,쉬움,3,2,토사, , , , ,2016-12-31,271401604
40,40,24965,271401604,봉무공원,봉무동구간, ,0.44,쉬움,8,5,토사, , , , ,2016-12-31,271401604
