,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,25439,448102601,봉수산,송석리구간, ,0.97,쉬움,17,12, , , , , ,2016-12-31,448102601
1,1,25440,448102601,봉수산,유곡리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,448102601
2,2,25441,448102601,봉수산,유곡리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,448102601
3,3,25442,448102601,봉수산,송석리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,448102601
4,4,25443,448102601,봉수산,탑곡리구간, ,2.57,쉬움,96,67, , , , , ,2016-12-31,448102601
5,5,25444,448102601,봉수산,송석리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,448102601
6,6,25445,448102601,봉수산,송석리구간, ,2.18,쉬움,38,27, , , , , ,2016-12-31,448102601
7,7,25446,448102601,봉수산,송석리구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,448102601
8,8,25447,448102601,봉수산,탑곡리구간, ,2.24,쉬움,40,28, , , , , ,2016-12-31,448102601
9,9,25448,448102601,봉수산,탑곡리구간, ,1.54,쉬움,27,19, , , , , ,2016-12-31,448102601
10,10,25449,448102601,봉수산,유곡리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,448102601
11,11,25450,448102601,봉수산,송석리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,448102601
12,12,25451,448102601,봉수산,유곡리구간, ,1.28,쉬움,24,17, , , , , ,2016-12-31,448102601
