,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,25466,448102504,봉수산숲길,탑곡리구간, ,2.24,쉬움,56,39, , , , , ,2016-12-31,448102504
1,1,25467,448102504,봉수산숲길,탑곡리구간, ,1.54,쉬움,27,19, , , , , ,2016-12-31,448102504
2,2,25468,448102504,봉수산숲길,송석리구간, ,2.18,쉬움,38,27, , , , , ,2016-12-31,448102504
3,3,25469,448102504,봉수산숲길,송석리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,448102504
4,4,25470,448102504,봉수산숲길,송석리구간, ,0.97,쉬움,17,12, , , , , ,2016-12-31,448102504
5,5,25471,448102504,봉수산숲길,탑곡리구간, ,2.57,쉬움,45,32, , , , , ,2016-12-31,448102504
6,6,25472,448102504,봉수산숲길,송석리구간, ,0.83,쉬움,15,10, , , , , ,2016-12-31,448102504
7,7,25473,448102504,봉수산숲길,유곡리구간, ,1.28,쉬움,24,17, , , , , ,2016-12-31,448102504
8,8,25474,448102504,봉수산숲길,송석리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,448102504
9,9,25475,448102504,봉수산숲길,송석리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,448102504
10,10,25476,448102504,봉수산숲길,유곡리구간, ,0.43,쉬움,8,5, , , , , ,2016-12-31,448102504
11,11,25477,448102504,봉수산숲길,유곡리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,448102504
12,12,25478,448102504,봉수산숲길,유곡리구간, ,0.49,쉬움,9,6, , , , , ,2016-12-31,448102504
