,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,25890,457401201,봉화산, , ,0.06,쉬움,1,1, , , , , ,2016-12-31,451901701
1,1,25891,457401201,봉화산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,451901701
2,2,25892,457401201,봉화산,의지리구간, ,1.12,쉬움,20,14, , , , , ,2016-12-31,451901701
3,3,25893,457401201,봉화산, , ,0.21,쉬움,4,3, , , , , ,2016-12-31,451901701
4,4,25894,457401201,봉화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,451901701
5,5,25895,457401201,봉화산, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,451901701
6,6,25896,457401201,봉화산, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,488702101
7,7,25897,457401201,봉화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,488702101
8,8,25898,457401201,봉화산, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,488702101
9,9,25899,457401201,봉화산, , ,1.39,쉬움,25,17, , , , , ,2016-12-31,488702101
10,10,25900,457401201,봉화산, , ,0.81,쉬움,14,10, , , , , ,2016-12-31,488702101
11,11,25901,457401201,봉화산, , ,1.57,쉬움,28,19, , , , , ,2016-12-31,488702101
12,12,25902,457401201,봉화산,오천리구간, ,1.38,쉬움,24,17, , , , , ,2016-12-31,488702101
13,13,25903,457401201,봉화산,오천리구간, ,0.09,쉬움,2,1, , , , , ,2016-12-31,488702101
14,14,25904,457401201,봉화산,경백리구간, ,2.6,쉬움,56,39, , , , , ,2016-12-31,488702101
15,15,25905,457401201,봉화산, , ,0.02,쉬움,1,0, , , , , ,2016-12-31,488702101
16,16,25906,457401201,봉화산, , ,1.27,쉬움,22,16, , , , , ,2016-12-31,488702101
17,17,25907,457401201,봉화산,연덕리구간, ,0.61,쉬움,11,8, , , , , ,2016-12-31,488702101
18,18,25908,457401201,봉화산, , ,2.43,쉬움,43,30, , , , , ,2016-12-31,488702101
19,19,25909,457401201,봉화산, , ,0.55,쉬움,10,7, , , , , ,2016-12-31,488702101
20,20,25910,457401201,봉화산,오천리구간, ,0.39,쉬움,7,5, , , , , ,2016-12-31,488702101
21,21,25911,457401201,봉화산,송평리구간, ,2.36,쉬움,44,31, , , , , ,2016-12-31,488702101
22,22,25912,457401201,봉화산,웅곡리구간, ,2.33,쉬움,41,29, , , , , ,2016-12-31,488702101
23,23,25913,457401201,봉화산, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,451901701
24,24,25914,457401201,봉화산, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,488702101
25,25,25915,457401201,봉화산,의지리구간, ,2.52,쉬움,44,31, , , , , ,2016-12-31,451901701
26,26,25916,457401201,봉화산, , ,1.05,쉬움,19,13, , , , , ,2016-12-31,451901701
27,27,25917,457401201,봉화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,488702101
28,28,25918,457401201,봉화산,오천리구간, ,0.35,쉬움,6,4, , , , , ,2016-12-31,488702101
29,29,25919,457401201,봉화산, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,451901701
30,30,25920,457401201,봉화산, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,451901701
31,31,25921,457401201,봉화산, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,451901701
32,32,25922,457401201,봉화산,오천리구간, ,0.08,쉬움,1,1, , , , , ,2016-12-31,488702101
33,33,25923,457401201,봉화산, , ,0.63,쉬움,11,8, , , , , ,2016-12-31,488702101
34,34,25924,457401201,봉화산,동화리구간, ,16.39,쉬움,307,215, , , , , ,2016-12-31,451901701
35,35,25925,457401201,봉화산, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,451901701
36,36,25926,457401201,봉화산,오천리구간, ,1.04,쉬움,22,16, , , , , ,2016-12-31,451901701
37,37,25927,457401201,봉화산,대안리구간, ,5.25,쉬움,197,138, , , , , ,2016-12-31,488702101
38,38,25928,457401201,봉화산, , ,2.79,쉬움,49,34, , , , , ,2016-12-31,488702101
