,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,26156,441801101,봉황봉,죽정동구간, ,0.71,쉬움,13,9, , , , , ,2016-12-31,2406231100
1,1,26157,441801101,봉황봉,신대리구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,2406231100
2,2,26158,441801101,봉황봉, , ,1.03,쉬움,18,13, , , , , ,2016-12-31,2406231100
3,3,26159,441801101,봉황봉, , ,0.53,쉬움,9,7, , , , , ,2016-12-31,2406231100
4,4,26160,441801101,봉황봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2406231100
5,5,26161,441801101,봉황봉, , ,0.24,쉬움,4,3, , , , , ,2016-12-31,2406231100
6,6,26162,441801101,봉황봉,장산리구간, ,1.12,쉬움,20,14, , , , , ,2016-12-31,2406231100
7,7,26163,441801101,봉황봉,죽정동구간, ,0.75,쉬움,14,10, , , , , ,2016-12-31,2406231100
8,8,26164,441801101,봉황봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2406231100
9,9,26165,441801101,봉황봉,대천동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2406231100
10,10,26166,441801101,봉황봉, , ,0.2,쉬움,4,2, , , , , ,2016-12-31,2406231100
11,11,26167,441801101,봉황봉, , ,0.28,쉬움,5,3, , , , , ,2016-12-31,2406231100
12,12,26168,441801101,봉황봉, , ,0.31,쉬움,5,4, , , , , ,2016-12-31,2406231100
13,13,26169,441801101,봉황봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2406231100
14,14,26170,441801101,봉황봉, , ,0.26,쉬움,5,3, , , , , ,2016-12-31,2406231100
15,15,26171,441801101,봉황봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2406231100
16,16,26172,441801101,봉황봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2406231100
17,17,26173,441801101,봉황봉, , ,0.05,쉬움,1,1, , , , , ,2016-12-31,2406231100
18,18,26174,441801101,봉황봉,죽정동구간, ,0.26,쉬움,5,3, , , , , ,2016-12-31,2406231100
19,19,26175,441801101,봉황봉, , ,0.04,쉬움,1,0, , , , , ,2016-12-31,2406231100
20,20,26176,441801101,봉황봉,신대리구간, ,0.03,쉬움,1,0, , , , , ,2016-12-31,2406231100
21,21,26177,441801101,봉황봉, , ,0.27,쉬움,5,3, , , , , ,2016-12-31,2406231100
22,22,26178,441801101,봉황봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2406231100
23,23,26179,441801101,봉황봉, , ,0.08,쉬움,1,1, , , , , ,2016-12-31,2406231100
24,24,26180,441801101,봉황봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2406231100
25,25,26181,441801101,봉황봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2406231100
26,26,26182,441801101,봉황봉, , ,0.25,쉬움,4,3, , , , , ,2016-12-31,2406231100
27,27,26183,441801101,봉황봉, , ,0.01,쉬움,1,0, , , , , ,2016-12-31,2406231100
28,28,26184,441801101,봉황봉, , ,0.16,쉬움,3,2, , , , , ,2016-12-31,2406231100
29,29,26185,441801101,봉황봉, , ,0.12,쉬움,2,1, , , , , ,2016-12-31,2406231100
30,30,26186,441801101,봉황봉, , ,0.09,쉬움,2,1, , , , , ,2016-12-31,2406231100
31,31,26187,441801101,봉황봉, , ,0.15,쉬움,3,2, , , , , ,2016-12-31,2406231100
32,32,26188,441801101,봉황봉, , ,0.18,쉬움,3,2, , , , , ,2016-12-31,2406231100
33,33,26189,441801101,봉황봉,신대리구간, ,0.63,쉬움,11,8, , , , , ,2016-12-31,2406231100
34,34,26190,441801101,봉황봉,대천동구간, ,0.21,쉬움,4,3, , , , , ,2016-12-31,2406231100
35,35,26191,441801101,봉황봉, , ,0.14,쉬움,2,2, , , , , ,2016-12-31,2406231100
36,36,26192,441801101,봉황봉, , ,0.07,쉬움,1,1, , , , , ,2016-12-31,2406231100
37,37,26193,441801101,봉황봉, , ,0.17,쉬움,3,2, , , , , ,2016-12-31,2406231100
38,38,26194,441801101,봉황봉, , ,0.1,쉬움,2,1, , , , , ,2016-12-31,2406231100
39,39,26195,441801101,봉황봉, , ,0.37,쉬움,7,5, , , , , ,2016-12-31,2406231100
40,40,26196,441801101,봉황봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2406231100
41,41,26197,441801101,봉황봉, , ,0.11,쉬움,2,1, , , , , ,2016-12-31,2406231100
42,42,26198,441801101,봉황봉, , ,0.03,쉬움,1,0, , , , , ,2016-12-31,2406231100
43,43,26199,441801101,봉황봉, , ,0.13,쉬움,2,2, , , , , ,2016-12-31,2406231100
44,44,26200,441801101,봉황봉, , ,0.39,쉬움,7,5, , , , , ,2016-12-31,2406231100
45,45,26201,441801101,봉황봉, , ,0.32,쉬움,6,4, , , , , ,2016-12-31,2406231100
46,46,26202,441801101,봉황봉,신대리구간, ,0.73,쉬움,13,9, , , , , ,2016-12-31,2406231100
47,47,26203,441801101,봉황봉,신대리구간, ,1.36,쉬움,24,17, , , , , ,2016-12-31,2406231100
48,48,26204,441801101,봉황봉,죽정동구간, ,0.59,쉬움,10,7, , , , , ,2016-12-31,2406231100
49,49,26205,441801101,봉황봉, , ,0.61,쉬움,11,8, , , , , ,2016-12-31,2406231100
