,FID,PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN,PMNTN_MTRQ,PMNTN_CNRL,PMNTN_CLS_,PMNTN_RISK,PMNTN_RECO,DATA_STDR_,MNTN_ID
0,0,26545,461100301,부흥산,옥암동구간, ,0.23,쉬움,4,3, , , , , ,2016-12-31,461100301
1,1,26546,461100301,부흥산,옥암동구간, ,0.18,쉬움,3,2, , , , , ,2016-12-31,461100301
2,2,26547,461100301,부흥산,옥암동구간, ,0.29,쉬움,5,4, , , , , ,2016-12-31,461100301
3,3,26548,461100301,부흥산,옥암동구간, ,0.11,쉬움,2,1, , , , , ,2016-12-31,461100301
4,4,26549,461100301,부흥산,옥암동구간, ,0.4,쉬움,7,5, , , , , ,2016-12-31,461100301
5,5,26550,461100301,부흥산,옥암동구간, ,0.3,쉬움,5,4, , , , , ,2016-12-31,461100301
6,6,26551,461100301,부흥산,옥암동구간, ,0.47,쉬움,8,6, , , , , ,2016-12-31,461100301
7,7,26552,461100301,부흥산,옥암동구간, ,0.0,쉬움,1,0, , , , , ,2016-12-31,461100301
8,8,26553,461100301,부흥산,옥암동구간, ,0.04,쉬움,1,0, , , , , ,2016-12-31,461100301
9,9,26554,461100301,부흥산,옥암동구간, ,0.07,쉬움,1,1, , , , , ,2016-12-31,461100301
10,10,26555,461100301,부흥산,옥암동구간, ,0.14,쉬움,2,2, , , , , ,2016-12-31,461100301
